List of importing markets for a product exported by Guyana Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	481,230	446,509	472,122	543,263	538,652	567,385	784,714	830,214	788,385	900,754	1,048,656	1,045,337	1,074,133	
Afghanistan	0	6	0	9	6	0	19	0	0	0	0	35	0	
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	20	38	0	20	0	0	23	0	22	0	0	0	
Angola	35	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	80	19	29	141	717	676	1,128	1,015	350	270	237	104	160	
Antigua and Barbuda	2,344	7,992	7,037	4,726	2,659	3,906	4,224	4,372	3,627	2,778	3,555	4,002	5,035	
Area Nes	196	212	260	194	0	0	0	0	0	0	0	0	23	
Argentina	0	0	64	0	0	6	15	0	0	1	0	0	0	
Armenia	0	0	0	0	0	0	0	253	0	0	0	0	0	
Aruba	3,377	1,746	891	1,504	692	678	1,035	2,268	881	639	220	22	28	
Australia	58	475	211	657	593	311	677	843	427	719	750	503	331	
Austria	0	0	0	40	98	79	24	2,411	3	1	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	560	13	12	25	81	51	421	797	581	240	78	358	166	
Bahrain	0	2	24	11	34	0	27	71	27	116	95	23	14	
Bangladesh	0	1,258	196	44	21	24	80	417	276	6	0	0	33	
Barbados	13,186	12,976	19,170	20,003	19,501	26,859	46,024	16,644	16,064	23,417	25,439	16,532	11,083	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	10,423	11,940	19,617	76,228	27,135	27,683	30,001	28,060	15,030	15,522	11,593	12,504	27,260	
Belize	499	1,011	458	851	669	781	533	385	315	6	297	505	908	
Benin	0	0	0	85	0	0	0	0	0	37	0	0	0	
Bermuda	28	465	0	0	327	34	56	70	41	13	0	0	1	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	1	0	0	0	0	0	0	
Bosnia and Herzegovina	20	0	0	15	9	0	26	13	0	12	11	56	3	
Botswana	3	0	0	0	7	0	0	0	0	0	0	200	0	
Brazil	151	57	214	1	602	322	1,746	967	300	1,159	714	1,157	1,346	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	17	63	104	121	359	245	502	297	566	245	275	202	219	
Brunei Darussalam	0	0	8	2	0	0	0	0	0	0	0	0	0	
Bulgaria	0	152	589	4,099	1,289	161	8	0	0	0	0	11	0	
Burkina Faso	0	0	0	0	0	0	0	0	247	0	0	0	0	
Burundi	0	0	0	0	3	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	2	0	0	0	1	33	0	
Canada	107,768	106,723	94,377	101,345	86,057	101,894	169,825	215,363	267,551	356,878	211,036	85,331	74,809	
Cayman Islands	0	0	113	12	75	25	27	110	235	135	142	86	176	
Central African Republic	0	40	74	19	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	26	0	276	243	356	895	404	1,271	33	37	128	75	8	
China	1,283	1,597	447	1,260	4,721	13,597	10,379	12,433	12,524	7,326	7,556	20,464	7,491	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	2	0	0	122	0	0	
Colombia	7	0	0	260	1,885	444	2,154	1,682	301	1,262	1,218	1,393	341	
Comoros	0	0	0	0	0	0	0	0	0	1	0	0	0	
Congo	0	0	0	21	0	1	1	0	0	0	0	0	0	
Costa Rica	34	55	317	29	0	0	0	17	161	120	420	161	52	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cuba	743	683	295	100	1,103	409	297	1,124	217	356	114	67	156	
Cyprus	65	24	378	1,664	72	197	0	0	1	9	98	0	0	
Czech Republic	83	39	94	34	33	1	4	674	1	0	2	10	5	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	135	123	632	245	114	115	10	17	38	26	91	274	59	
Djibouti	0	0	0	1	0	0	0	0	0	0	48	550	0	
Dominica	946	1,004	638	1,863	1,615	1,441	1,307	3,317	2,047	2,679	2,388	2,316	1,447	
Dominican Republic	1,227	602	933	893	858	1,096	1,503	1,115	1,362	2,384	5,071	3,588	2,683	
Ecuador	30	0	110	264	192	122	468	682	439	7	1,549	0	0	
Egypt	0	0	1	0	13	0	0	0	0	0	5	0	0	
El Salvador	15	0	103	8	21	7	7	0	12	78	0	4	0	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	6	0	0	35	0	0	0	0	0	0	
Ethiopia	0	0	0	1	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	5	0	0	0	0	0	0	0	0	0	0	0	
Finland	2,833	4,557	0	2	4	0	54	0	44	14	27	4	107	
France	8,124	11,872	3,430	5,183	5,066	5,347	11,093	17,362	18,727	23,719	4,030	6,595	9,030	
French Polynesia	0	0	0	0	0	0	0	0	0	119	0	75	47	
French South Antarctic Territories	52	40	97	1,161	337	213	0	0	80	0	0	0	9	
Gabon	3	0	16	7	0	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	790	1,168	0	0	0	15	0	
Georgia	0	0	0	169	90	22	0	0	0	3	0	0	0	
Germany	6,311	879	3,222	3,054	935	196	1,618	3,716	6,985	11,835	61,804	59,949	57,082	
Ghana	0	0	23	0	0	0	377	0	31	3	0	0	0	
Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	7	128	729	958	105	0	7	0	5	0	0	32	31	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	2,001	2,742	2,054	2,766	3,992	3,329	3,653	3,543	3,735	4,108	4,836	4,310	2,500	
Guatemala	0	0	0	20	17	31	183	229	187	18	0	25	12	
Guinea	0	0	0	0	0	0	2	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	173	0	0	0	0	0	0	
Haiti	789	930	2,398	3,829	3,551	4,345	6,089	8,631	11,799	2,931	14	252	681	
