List of importing markets for a product exported by Bermuda Product: TOTAL All products
"Importers"	"Exported value in 2012"	"Exported value in 2013"	
World	9,624	21,705	
Afghanistan	0	0	
Albania	0	0	
Algeria	0	0	
Andorra	0	0	
Anguilla	0	0	
Antigua and Barbuda	0	0	
Area Nes	2,950	199	
Argentina	0	0	
Aruba	0	0	
Australia	0	0	
Austria	0	0	
Bahamas	0	0	
Bahrain	0	0	
Bangladesh	0	0	
Barbados	0	0	
Belgium	1	7	
Belize	0	0	
Bolivia	0	0	
Bosnia and Herzegovina	0	0	
Brazil	0	0	
British Virgin Islands	0	0	
Brunei Darussalam	0	0	
Bulgaria	0	0	
Burkina Faso	0	0	
Cambodia	0	0	
Cameroon	0	0	
Canada	46	140	
Cayman Islands	0	0	
Chile	0	0	
China	8	20	
Cocos (Keeling) Islands	0	0	
Colombia	0	0	
Comoros	0	0	
Congo	0	0	
Cook Islands	0	0	
Costa Rica	0	0	
Croatia	0	0	
Cuba	0	0	
Czech Republic	0	0	
Denmark	0	0	
Dominica	0	0	
Dominican Republic	0	0	
Ecuador	0	0	
Egypt	0	0	
El Salvador	0	0	
Eritrea	0	0	
Ethiopia	0	0	
Falkland Islands (Malvinas)	0	0	
Fiji	0	0	
Finland	0	0	
France	173	0	
Gabon	0	0	
Georgia	0	131	
Germany	4	8	
Ghana	0	0	
Greece	0	0	
Grenada	0	0	
Guatemala	0	0	
Guinea	0	0	
Guyana	0	0	
Haiti	0	0	
Honduras	0	0	
Hong Kong, China	0	0	
Hungary	0	0	
Iceland	0	0	
India	0	0	
Indonesia	0	0	
Iran (Islamic Republic of)	0	0	
Ireland	107	0	
Israel	0	0	
Italy	3	6	
Jamaica	0	0	
Japan	0	0	
Jordan	0	0	
Kenya	0	0	
Korea, Republic of	0	0	
Lao People's Democratic Republic	0	0	
Latvia	0	0	
Lithuania	0	0	
Luxembourg	0	0	
Macao, China	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	
Madagascar	0	0	
Malawi	0	0	
Malaysia	0	0	
Mali	0	0	
Mauritius	0	0	
Mexico	0	42	
Morocco	0	0	
Namibia	0	0	
Nauru	0	0	
Nepal	0	0	
Netherland Antilles	0	0	
Netherlands	27	42	
New Zealand	0	0	
Nicaragua	0	0	
Nigeria	0	0	
Norway	32	3	
Pakistan	0	0	
Palestine, State of	0	0	
Panama	0	0	
Paraguay	0	0	
Peru	0	0	
Philippines	0	0	
Poland	0	0	
Portugal	0	0	
Qatar	0	0	
Republic of Moldova	0	0	
Romania	0	0	
Russian Federation	0	0	
Saint Kitts and Nevis	0	0	
Saint Lucia	0	0	
Saudi Arabia	0	0	
Serbia	0	0	
Seychelles	0	0	
Sierra Leone	0	0	
Singapore	0	0	
Slovakia	0	0	
Slovenia	0	0	
South Africa	0	0	
Spain	0	0	
Sri Lanka	0	0	
Suriname	0	0	
Swaziland	0	0	
Sweden	0	0	
Switzerland	235	0	
Taipei, Chinese	0	0	
Tanzania, United Republic of	0	0	
Thailand	0	0	
Tonga	0	0	
Trinidad and Tobago	0	0	
Tunisia	0	0	
Turkey	0	0	
Turkmenistan	0	0	
Uganda	0	0	
Ukraine	0	2	
United Arab Emirates	0	0	
United Kingdom	706	14,772	
United States Minor Outlying Islands	0	0	
United States of America	5,330	6,333	
Uruguay	0	0	
Uzbekistan	0	0	
Vanuatu	0	0	
Venezuela	0	0	
Viet Nam	0	0	
