List of importing markets for a product exported by Benin (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	379,868	230,090	430,128	506,378	604,238	605,423	751,972	719,539	415,191	1,187,297	1,264,451	1,127,291	639,328	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	5	11	0	18	5	55	1	1	8	6	2	1	0	
Antigua and Barbuda					6		0		0	0	0	0	0	
Argentina	0	0	0	19	0	0	1	0	0	0	0	0	1	
Armenia	0	0	0	0	0	0	0	0	0	5	31	3	0	
Australia	1	0	0	0	2	10	0	0	0	0	0	0	2	
Austria	16	10	27	8	0	49	52	185	45	29	22	22	31	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	1	0			
Bangladesh	5,397	1,996	14,034	10,901	140	2,119	10,925							
Belarus	0	2	0	0	0	20	0	0	1	5	60	2	28	
Belgium	6,129	4,440	4,082	1,058	5,348	14,371	20,978	13,651	4,327	1,187	2,169	2,437	22,406	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	6	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0		
Bosnia and Herzegovina			30	0	0	0	1	8	10	0	0	0	150	
Botswana	0	2	1	0	0	0	0	261	0	0	6	0	0	
Brazil	12,146	914	480	905	2	5,630	5,203	63	0	0	0	2,885	260	
Brunei Darussalam	0	0	0	0		0				8	0	0	0	
Bulgaria	0	21	26	264	2	15	0	0	378	0	0	0	0	
Burkina Faso	1,243	1,894	78,858	68,698	79,460		11,368	12,120	5,600	2,519	27,094	8,622		
Burundi	2	0	0	0	1	2	0	0	100	0	91	145	88	
Cabo Verde	0	2	1	0	436	0	0		3,270	1,657	0	330	0	
Cambodia	6	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	473	4,857	5,880	3,067	916	7,862	14,549	1,710	17,199	16,076	9,431	2,188		
Canada	49	2	6	4	7	18	225	31	3	12	23	86	36	
Central African Republic	13	0	42			0	5	2	11	0	80	14	255	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	
China	60	17,006	68,398	111,273	139,393	89,383	113,159	110,162	93,782	125,632	176,475	261,538	206,233	
Colombia	401	460	722	1,033	775	654	323	1,332	715	63	54	75	3	
Comoros	0	0	0	0	6	0	0	0	0					
Congo							9,001	28,202	8,736	18,896	49,393	13,161	1,411	
Costa Rica	0	0	0	0	0	6	8	0	2	0	3	5	2	
Côte d'Ivoire	368	573	676	925	2,267	8,854	13,023	20,410	13,175	4,967	9,563	13,700		
Croatia	9	14	1	551	6	1	3	7	2	2	30	10	0	
Cuba	0	18	38	0	0	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	1,514	535	844	578	329	615	28	283	2	9	735	1,188	443	
Denmark	85	325	4,481	9,324	241	165	993	183	4,246	6,606	6,702	8,450	7,574	
Djibouti									0					
Dominican Republic	0	1	24	0	274	469	7	30	0	1,145	0	0	4	
Ecuador	1	0	162	1	0	0	476	0	0	0	891	311	324	
Egypt	15	0	0	0	235	209	113	22	148	3,076	2,093	8	13,905	
El Salvador	0	0	8	0	0	0	0	0	0	0	0	0	0	
