List of importing markets for a product exported by Kiribati Product: TOTAL All products
"Importers"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	3,573		10,144	7,518	6,276	3,894	8,598	5,816	
Australia	815		4,552	2,259	1,336	796	1,137	272	
Austria	0		0	0	0	0	0	0	
Azerbaijan	0		0	0	0	0	0	0	
Bangladesh	80		0	0	0	0	0	0	
Belgium	0		0	0	0	0	0	0	
Brazil	0		0	0	0	0	0	0	
Brunei Darussalam	0		0	0	0	9	0	0	
Cambodia	0		0	0	0	0	0	0	
Canada	0		0	0	0	0	0	0	
Chile	0		17	0	0	0	0	0	
China	17		0	43	26	0	0	0	
Colombia	0		0	0	0	0	0	0	
Croatia	0		0	0	0	0	0	0	
Denmark	0		0	0	0	0	0	0	
El Salvador	0		0	0	0	0	1	0	
Faroe Islands	0		0	0	0	0	0	0	
Fiji	553		544	79	618	84	19	340	
Finland	0		0	0	0	0	0	0	
France	0		0	0	0	0	0	0	
Free Zones	1,227		0	0	0	0	0	0	
Gambia	0		0	0	0	0	0	0	
Germany	0		17	0	15	0	14	5	
Greece	0		0	0	0	0	0	0	
Hong Kong, China	340		1,056	1,772	1,356	713	580	621	
India	0		0	0	0	0	0	0	
Indonesia	0		0	0	0	0	0	0	
Israel	0		0	0	0	0	0	0	
Italy	0		0	0	0	0	0	9	
Japan	0		3	292	18	6	0	19	
Korea, Republic of	0		2	147	0	0	0	0	
Lithuania	0		0	0	0	0	0	0	
Malaysia	0		0	0	0	0	0	0	
Mali	0		0	0	0	0	0	0	
Marshall Islands	0		1	1	0	8	0	0	
Mexico	0		0	0	0	0	0	0	
Micronesia (Federated States of)	0		0	0	0	0	0	0	
Morocco	0		0	0	0	0	1,213	2,736	
Myanmar	0		0	0	0	0	0	0	
Nauru	0		0	0	0	0	19	100	
Netherlands	0		0	0	0	0	0	0	
New Zealand	0		0	42	16	166	104	104	
Niue	0		0	0	0	0	0	0	
Oman	0		0	0	0	0	0	0	
Pakistan	0		0	0	0	0	0	0	
Papua New Guinea	0		0	0	0	0	0	0	
Peru	0		0	0	0	0	0	0	
Philippines	36		26	871	322	0	0	0	
Poland	0		0	0	0	0	0	0	
Samoa	0		0	0	0	0	0	0	
Saudi Arabia	0		0	0	0	0	0	0	
Senegal	0		0	0	0	0	0	0	
Sierra Leone	0		0	0	0	0	0	0	
Singapore	0		1,397	24	0	0	0	0	
Solomon Islands	41		84	0	0	12	26	0	
South Africa	0		0	0	0	0	0	0	
Spain	0		0	0	0	0	0	0	
Sri Lanka	0		0	0	0	0	0	0	
Suriname	0		0	0	0	0	0	0	
Swaziland	0		0	0	0	0	0	0	
Switzerland	0		0	9	0	16	0	0	
Taipei, Chinese	462		2,142	1,652	1,341	1,445	4,958	1,186	
Thailand	0		0	0	0	0	0	0	
Timor-Leste	0		0	0	0	0	0	0	
Tokelau	0		0	0	0	0	0	0	
Tonga	0		8	0	0	5	0	0	
Tunisia	0		0	0	0	0	0	0	
Turkey	0		0	0	0	0	0	0	
Turks and Caicos Islands	0		0	0	0	0	0	0	
Tuvalu	1		0	267	1	0	0	43	
Ukraine	0		0	0	0	0	0	0	
United Kingdom	0		0	61	0	37	0	0	
United States Minor Outlying Islands	0		0	0	0	459	0	0	
United States of America	1		295	0	822	0	24	19	
Vanuatu	0		0	0	0	0	0	0	
Viet Nam	0		0	0	404	141	504	362	
