List of importing markets for a product exported by Benin Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	204,165	241,719	271,526	298,312	288,196	224,593	274,387	421,064	425,348	434,474	363,153	471,226	635,218	
Afghanistan	0	0	0	0	0	0	0	1	0	0	0	0	0	
Albania	0	48	0	0	0	0	0	0	0	20	0	0	1,253	
Algeria	0	15	0	0	13	0	0	0	99	0	3	105	380	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	57	
Angola	2	21	18	317	3,766	85	11	8	24	0	129	75	6	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	69	0	0	31	0	0	0	0	0	0	0	
Area Nes	22,510	0	0	0	0	0	0	44,127	0	0	0	0	0	
Argentina	0	147	0	0	0	0	0	0	0	7	0	0	0	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	5	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	195	
Australia	58	61	0	0	0	35	0	0	0	0	673	6	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	57	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	116	0	499	0	0	0	0	0	0	0	0	
Bangladesh	1,957	2,966	10,817	7,488	1,197	50	1,934	482	18	2,453	209	5	17,283	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	3,971	2,988	3,465	553	1,546	539	4,637	694	462	2,402	459	834	1,217	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	5	3	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	3	0	0	0	0	0	
Brazil	10,414	914	882	626	0	4,851	4,224	5	0	0	0	1,317	131	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	0	16	9	97	0	0	0	24	424	0	0	0	434	
Burkina Faso	972	1,116	2,155	4,342	2,172	8,054	8,802	4,869	2,615	1,537	7,219	3,710	6,601	
Burundi	0	0	0	0	0	0	0	0	30	38	126	0	14	
Cabo Verde	0	0	0	2	0	2	0	26	0	0	0	0	0	
Cambodia	3	0	0	0	0	0	444	0	0	0	0	0	6	
Cameroon	317	2,973	1,031	456	619	208	148	156	1,917	4,678	3,112	2,348	707	
Canada	329	50	688	2	3	5	3	52	0	10	8	11	5	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	9	26	37	14	2	152	0	230	0	436	0	0	264	
Chad	240	225	924	2,043	4,145	3,603	4,561	19,470	22,887	17,728	41,049	60,354	43,535	
Chile	0	18	0	0	0	0	0	0	0	0	6	0	0	
China	441	16,348	62,325	93,070	104,191	53,935	65,771	70,068	78,703	50,622	54,625	119,799	119,385	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	309	151	3,326	500	555	164	512	681	407	13	42	5	12	
Comoros	0	8	0	0	0	0	0	0	0	0	0	0	0	
Congo	214	225	248	318	200	87	81	199	294	394	240	304	203	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	267	0	0	0	0	0	0	24	16	0	0	0	0	
Côte d'Ivoire	736	1,157	1,365	1,110	4,456	12,934	11,670	9,793	11,012	2,796	18,631	30,276	13,261	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	3	
Cuba	0	2	0	0	0	0	0	0	0	0	0	2	0	
Cyprus	0	24	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	116	0	37	80	252	20	0	6	0	0	0	0	0	
Democratic Republic of the Congo	0	0	39	11	254	165	319	100	109	153	244	353	354	
Denmark	923	379	7,530	3,200	244	4,417	10,313	9,189	3,817	6,971	11,638	7,127	11,081	
Djibouti	0	4	0	0	25	30	0	3	511	0	1	5	0	
Dominica	0	0	0	0	0	0	0	0	0	32	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
