List of importing markets for a product exported by Vanuatu Product: TOTAL All products
"Importers"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	36,698	29,906		37,746	46,174	63,532	
Afghanistan	0	0		0	0	0	
Algeria	0	0		47	0	0	
Andorra	0	0		0	0	0	
Anguilla	0	0		0	0	0	
Area Nes	13,310	7,978		1,892	2,120	1,750	
Argentina	0	0		11	0	0	
Aruba	0	0		0	14	0	
Australia	2,855	934		1,988	5,633	7,176	
Austria	0	0		0	0	0	
Azerbaijan	0	0		0	0	0	
Bahamas	0	0		0	0	0	
Bangladesh	9	0		0	0	0	
Barbados	0	0		470	256	0	
Belgium	1,783	1,144		20	4	3	
Belize	0	0		0	0	0	
Bosnia and Herzegovina	0	0		0	0	0	
Botswana	0	0		0	0	0	
Brazil	0	0		0	1	5	
British Virgin Islands	0	0		0	0	0	
Brunei Darussalam	0	0		0	0	0	
Bulgaria	0	0		3	2	0	
Cameroon	0	0		0	6	0	
Canada	21	12		122	527	111	
Cayman Islands	0	0		0	0	0	
Central African Republic	0	0		0	0	0	
Chile	0	0		0	0	0	
China	53	13		170	198	257	
Colombia	0	0		0	0	0	
Congo	0	0		0	0	0	
Cook Islands	0	4		33	0	4	
Costa Rica	0	83		0	0	0	
Croatia	0	0		0	0	0	
Cuba	0	0		0	5	0	
Cyprus	0	0		0	0	0	
Czech Republic	0	0		0	0	1	
Democratic Republic of the Congo	0	0		0	0	0	
Denmark	0	0		0	0	0	
Djibouti	41	0		0	0	0	
Dominica	0	0		17	0	0	
Dominican Republic	0	0		0	0	0	
Ecuador	0	0		0	0	0	
Egypt	0	0		0	0	0	
El Salvador	0	0		0	0	0	
Estonia	0	0		140	0	0	
Falkland Islands (Malvinas)	0	0		0	0	0	
Fiji	4,412	2,050		1,854	2,052	5,141	
Finland	0	0		0	0	0	
France	896	1,255		4,405	1,460	596	
French Polynesia	0	0		0	7	9	
French South Antarctic Territories	0	0		0	0	0	
Germany	319	1,332		451	257	339	
Ghana	0	0		1	0	0	
Greece	0	0		0	0	0	
Hong Kong, China	1,296	366		940	737	460	
Iceland	0	0		0	7	0	
India	1,527	0		560	376	84	
Indonesia	3	4		213	7,436	0	
Iran (Islamic Republic of)	0	0		0	22	0	
Ireland	0	0		1	4	4	
Israel	0	0		0	0	0	
Italy	0	73		1	0	2	
Jamaica	0	0		0	0	0	
Japan	1,500	1,602		2,730	2,098	3,353	
Jordan	0	0		0	0	0	
Kenya	0	0		0	0	3	
Kiribati	17	45		56	42	437	
Korea, Democratic People's Republic of	0	0		0	0	0	
Korea, Republic of	0	20		5	141	198	
Kuwait	0	0		0	0	0	
Libya	0	0		0	0	0	
Lithuania	0	0		0	0	0	
Luxembourg	0	0		0	0	0	
Macao, China	0	0		0	0	0	
Madagascar	0	0		0	0	4	
Malaysia	47	641		1,137	586	12,991	
Maldives	0	0		0	1	0	
Mali	0	0		0	0	0	
Marshall Islands	0	1		0	0	0	
Mauritania	0	0		0	0	0	
Mauritius	0	0		1	0	0	
Mexico	0	0		0	0	0	
Micronesia (Federated States of)	0	0		0	0	0	
Montserrat	0	0		0	0	0	
Morocco	0	0		0	0	9	
Mozambique	0	0		0	0	0	
Namibia	0	0		0	0	2	
Nauru	0	0		0	10	12	
Netherland Antilles	398	0		0	0	30	
Netherlands	305	1,135		1,202	202	207	
New Caledonia	2,658	2,925		4,031	3,814	3,616	
New Zealand	511	850		2,594	3,170	7,246	
Niger	0	0		0	0	0	
Niue	0	0		0	0	0	
Norfolk Island	0	0		0	0	0	
Norway	4	0		0	0	0	
Oman	0	0		0	0	0	
Pakistan	0	0		0	0	0	
Panama	0	0		0	0	0	
Papua New Guinea	317	369		2,424	2,647	3,239	
Peru	0	0		0	0	0	
Philippines	749	4,159		4,550	5,919	11,457	
Pitcairn	0	0		0	80	0	
Poland	0	0		0	23	0	
Portugal	0	0		0	0	0	
Russian Federation	2	0		3	0	0	
Saint Helena	0	0		0	0	0	
Samoa	0	1		4	35	3	
Sao Tome and Principe	0	0		9	0	0	
Saudi Arabia	38	0		0	239	0	
Senegal	0	0		0	0	0	
Serbia	0	0		0	0	0	
Singapore	1,774	1,575		1,680	2,292	271	
Slovakia	0	0		0	0	0	
Slovenia	0	0		1	0	0	
Solomon Islands	441	225		993	1,077	999	
Somalia	0	0		0	0	0	
South Africa	6	159		0	0	6	
Spain	0	0		71	4	0	
Sri Lanka	0	0		0	0	0	
Sudan (North + South)	0	0		2	0	0	
Swaziland	54	0		24	0	0	
Sweden	0	0		0	0	0	
Switzerland	14	0		0	0	0	
Syrian Arab Republic	0	0		0	0	0	
Taipei, Chinese	190	249		149	92	514	
Thailand	401	1		24	14	51	
Timor-Leste	0	0		0	0	0	
Togo	0	4		0	0	0	
Tonga	4	0		78	1	1	
Tunisia	0	0		4	1	2	
Turkey	0	0		0	0	2	
Turks and Caicos Islands	0	0		0	0	0	
Tuvalu	3	0		0	0	0	
Ukraine	0	0		0	0	186	
United Arab Emirates	25	228		67	238	0	
United Kingdom	440	155		615	282	766	
United States Minor Outlying Islands	0	0		0	7	4	
United States of America	263	307		1,804	1,989	1,566	
Uruguay	0	0		0	0	0	
Vanuatu	0	0		0	0	0	
Viet Nam	0	0		16	21	180	
Wallis and Futuna Islands	12	6		128	23	234	
Zimbabwe	0	0		0	0	0	
