List of importing markets for a product exported by Mozambique Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	703,134	809,812	1,043,913	1,503,846	1,745,256	2,381,132	2,412,079	2,653,260	2,147,169	2,243,069	3,604,118	3,469,852	4,023,719	
Afghanistan	0	0	21	0	16	9	0	118	37	227	64	0	123	
Albania	95	13	16	0	16	78	0	0	19	0	0	33	0	
Algeria	0	0	0	0	0	0	2	0	0	0	0	0	0	
Andorra	0	0	0	0	0	3	0	0	87	12	24	0	0	
Angola	501	483	859	621	821	1,540	15,213	9,314	8,961	2,522	6,838	24,064	3,480	
Anguilla	0	0	0	0	0	0	0	0	0	1	0	0	0	
Antigua and Barbuda	0	0	0	0	65	0	12	21	744	0	1,261	0	0	
Area Nes	418,235	399,824	634,712	57,581	109,825	1,522,608	1,584,053	321,160	88,437	19,378	0	2	734	
Argentina	2,214	159	0	0	0	659	0	2,389	360	2,469	214	12,271	6,053	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	590	658	24	37	45	12	145	387	657	3,066	263	100	18,315	
Austria	0	2	0	10	2	136	0	2	16	0	3	49	139	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	46	
Bahamas	0	6	0	0	8	0	110	15	0	750	1,133	0	8,323	
Bahrain	0	0	0	627	0	0	0	142	802	961	0	740	14,824	
Bangladesh	0	0	958	3,889	131	584	0	0	0	401	1,616	15,364	12,498	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	8	0	0	0	0	0	133	3	0	0	
Belgium	808	430	435	7,851	990	3,270	3,635	25,017	15,052	8,533	17,616	34,840	48,567	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	5	0	0	0	0	0	0	0	0	41	0	0	159	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	3	0	0	0	417	4	0	0	0	0	
Bosnia and Herzegovina	77	0	689	610	0	0	0	0	0	0	0	870	0	
Botswana	7	162	1,744	741	56	532	338	9,212	275	50	3,624	3,197	760	
Brazil	0	88	1,904	108	54	72	106	1,354	30	814	69,757	6,220	1,959	
British Indian Ocean Territories	573	695	398	0	7	857	0	0	64	106	155	0	0	
British Virgin Islands	0	5,116	198	0	0	0	5	0	0	0	0	7	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	7	6	0	0	0	0	216	28	6	9	293	1	0	
Burkina Faso	0	11	6	11	0	4	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	320	181	0	0	0	3	0	
Cabo Verde	0	0	33	0	6	22	0	12	10	3	82	95	9	
Cambodia	0	82	0	250	0	0	0	0	0	0	44	0	0	
Cameroon	0	0	48	0	2	3	21	911	0	0	0	0	1,084	
Canada	1,047	2	34	66	50	329	396	2,552	682	966	17,898	4,780	4,280	
Cayman Islands	0	0	0	0	0	0	0	0	9,076	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chad	0	250	196	38	0	5	0	5	897	0	66	0	0	
Chile	0	0	0	0	0	0	0	12	0	0	0	0	247	
China	1,280	5,495	5,412	21,391	34,130	32,939	44,041	51,604	74,478	79,568	167,692	637,337	104,980	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	106	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	7	86	2,495	331	0	0	13	437	0	0	0	3	2	
Comoros	0	0	0	0	0	0	109	360	77	4	4	0	0	
Congo	99	132	299	736	345	544	1,082	2,892	418	301	69	350	818	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	343	83	458	134	1,711	748	
Côte d'Ivoire	1	0	0	0	0	0	0	13	0	10	36	5	142	
Croatia	14	208	1	0	115	0	136	1,764	97	0	28	0	0	
Cuba	0	0	0	0	0	11	0	0	0	0	22	20	24	
Cyprus	0	0	0	0	0	0	0	0	102	0	0	0	195	
Czech Republic	0	54	0	12	44	2,024	26	1,252	2,129	136	8	1,798	1,133	
Democratic Republic of the Congo	125	327	1,390	0	0	0	0	0	0	0	2,389	704	3,372	
Denmark	285	105	58	127	50	1,384	1,452	1,318	5,600	8	110	49	44	
Djibouti	0	0	0	0	0	0	0	0	0	23	0	0	0	
Dominica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	8	234	157	74	39	47	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	88	0	
Egypt	0	30	114	442	355	567	22	226	9	35	0	0	24	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eritrea	0	0	0	1	0	0	0	0	0	24	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	23	0	
Ethiopia	13	1	0	0	65	833	0	0	6	12	0	29	3	
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	0	0	0	9	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	52	0	0	0	
Faroe Islands	0	0	0	1	6	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	3	0	0	0	0	0	0	
Finland	20	1,968	2	7	7	12,846	0	0	1,159	83	40	15,283	14,429	
France	678	7,107	1,978	2,828	13,507	10,174	11,949	13,979	7,077	2,605	8,301	3,990	30,685	
French Polynesia	0	0	0	0	0	0	0	0	0	0	49	0	0	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	5	31	0	0	0	0	2	77	0	0	1,205	1,749	
Gambia	0	0	0	114	2	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	0	0	47,428	43	
Germany	401	711	706	770	762	25,871	9,043	24,709	24,814	20,399	75,421	15,693	10,365	
Ghana	0	1	0	18	30	0	0	119	0	53	749	410	826	
Gibraltar	0	40	0	0	49	0	0	19	0	0	0	0	55	
Greece	0	61	591	9	351	2,000	690	830	382	3,957	162	2,882	362	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	113	630	225	177	167	0	
Guinea	56	754	89	0	0	0	0	0	0	0	0	0	4	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	17	0	0	0	290	388	
Hong Kong, China	5,192	6,910	6,249	3,540	2,029	1,634	1,098	863	5,999	1,181	1,048	998	1,272	
Hungary	0	0	0	1	0	0	108	0	150	138	4	719	69	
Iceland	0	18	0	0	13	0	0	0	0	0	0	0	11	
India	3,534	4,930	3,609	32,954	26,582	30,197	15,915	28,401	56,512	30,435	87,226	155,071	679,568	
Indonesia	18	3,643	2,984	4,749	3,522	13,083	9,781	2,138	7,525	17,967	20,841	3,826	32,656	
Iran (Islamic Republic of)	808	9	45	0	0	0	115	0	0	4,760	151,722	5,141	0	
Iraq	0	0	68	0	62	34	0	0	19	0	0	0	0	
Ireland	1	744	2	23	0	0	12	0	479	6,163	771	146	98	
Israel	0	0	15	0	6	1	0	383	125	1,013	283	458	129	
Italy	1,578	2,555	1,721	784	1,739	3,162	1,519	6,898	15,678	352	51,693	107,959	36,042	
Jamaica	5	0	15	0	0	0	0	0	0	0	0	0	0	
Japan	29,185	14,787	9,201	12,784	8,785	7,040	2,519	13,330	4,532	3,873	1,382	9,018	20,317	
Jordan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kazakhstan	0	0	0	0	0	0	0	317	87	287	215	1,606	4	
Kenya	661	2,508	3,233	2,560	2,482	1,403	22,090	1,700	10,130	3,579	31,822	8,461	16,972	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	22	0	0	55	0	0	1,122	230	2	2	969	17	
Korea, Republic of	276	292	4	0	144	367	1,603	886	396	4,463	140	7,349	648	
Kuwait	0	0	0	0	21	0	13	8	0	5	68	0	7,330	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	30	0	181	0	0	6	
Latvia	0	0	0	0	0	0	0	0	0	0	0	326	1,216	
Lebanon	0	0	0	57	175	196	892	5,215	4,959	2,151	1,279	1,194	498	
Lesotho	0	50	1	129	128	778	564	26	84	0	5,820	381	315	
Liberia	0	0	0	0	0	0	0	0	1	0	0	0	0	
Libya	0	0	0	0	14	0	0	0	0	0	55	1	121	
Lithuania	0	0	49	68	208	1,091	1,217	3,431	6,949	3,799	110	4,763	2,194	
Luxembourg	0	0	0	0	0	0	0	0	1,338	0	0	34	75	
Macao, China	0	0	0	0	0	2	2	3	10	5	45	1	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	0	0	0	11	
Madagascar	17	0	47	1	0	148	1,516	495	530	245	3,064	595	289	
Malawi	11,713	40,570	32,837	49,529	49,385	24,738	17,426	46,768	46,709	26,970	46,469	26,135	47,883	
Malaysia	1,289	1,499	1,482	3,899	3,853	9,023	437	5,920	11,705	7,204	139,829	4,256	19,261	
Maldives	0	12	0	0	0	0	0	0	0	0	0	0	0	
Mali	0	0	49	0	0	0	7	0	0	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	
Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	0	107	
Mauritania	0	0	0	0	0	0	0	254	0	0	0	9	0	
Mauritius	77	159	613	192	853	917	728	416	280	2,000	2,538	6,805	17,750	
Mexico	0	0	0	8	9	114	1,391	3,882	1,597	6,597	13,175	3,858	3,257	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	13	0	0	0	0	
Mongolia	0	0	1	0	0	0	0	0	3	6	109	4	91	
Montserrat	0	0	0	0	0	30	0	0	0	0	188	0	0	
Morocco	0	8	53	80	1	124	59	235	2,259	52	0	51	0	
Myanmar	0	5	0	0	0	0	80	208	0	0	0	0	83	
Namibia	3	16	53	176	9	51	0	379	18	147	302	0	16	
Nauru	0	0	0	0	0	0	0	0	0	0	0	0	3	
Nepal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherland Antilles	0	0	0	0	27	0	0	1,138	0	0	23	1,065	4,216	
Netherlands	7,100	2,710	1,192	916,535	1,042,900	20,840	10,454	1,476,381	893,933	1,181,948	1,402,144	921,432	1,150,608	
New Caledonia	0	0	0	0	0	0	0	0	0	612	0	0	0	
New Zealand	0	44	0	4	1	39	55	697	30	0	21	32	0	
Nicaragua	0	0	0	0	0	0	1,160	0	0	34	0	0	0	
Niger	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nigeria	229	0	0	0	0	1,064	2	0	0	0	61	75	14,048	
Norfolk Island	0	0	0	0	0	0	133	0	0	0	0	273	642	
Northern Mariana Islands	5	0	0	2	0	88	95	1,171	600	99	323	231	0	
Norway	13	10	62	49	305	37	149	5,910	1,448	4	127	38,336	3,603	
Oman	0	0	0	0	26	0	0	2,298	34	0	137	0	383	
Pakistan	158	24	419	1,257	1,483	6,255	3,389	823	423	799	310	41	431	
Palau	82	0	0	0	0	0	0	0	0	0	0	0	0	
Panama	0	0	377	684	7	56	189	1	6,644	0	0	0	0	
Paraguay	0	0	0	0	0	0	292	0	0	0	0	0	0	
Peru	0	0	0	409	14	0	0	0	0	0	0	0	0	
Philippines	1,536	63	483	170	0	125	278	950	2,022	3,017	266	6,158	540	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	54	35	32	5,225	4,388	17,796	24,270	7,941	7,958	50,079	6,474	
Portugal	28,213	39,873	38,910	46,961	21,903	29,738	39,938	26,413	32,189	108,344	42,679	16,162	104,239	
Qatar	0	0	270	0	4	0	0	1,058	108	8	0	0	73	
Republic of Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	17	7	0	111	161	177	901	1,186	2,320	
Russian Federation	0	0	50	367	100	8,896	5,095	24,010	29,503	13,598	24,725	17,961	10,033	
Rwanda	0	0	3	0	0	9	0	0	0	11	0	0	0	
Saint Helena	0	0	0	0	0	0	0	379	736	0	592	0	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	3	0	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saudi Arabia	41	0	244	37	0	82	29	576	0	4,272	382	2,705	4,117	
Senegal	0	0	0	79	147	32	0	57	0	0	0	0	11	
Serbia	0	0	0	0	0	0	31	0	117	0	72	573	770	
Serbia and Montenegro	0	0	0	0	140	0	0	0	0	0	0	0	0	
Seychelles	12	11	16	5	24	47	47	59	0	7	4	0	0	
Sierra Leone	0	0	0	0	0	0	0	0	0	3	1,223	0	0	
Singapore	1,173	4,780	501	2,191	2,447	3,494	1,292	1,886	28,377	10,986	9,616	28,270	37,953	
Slovakia	0	0	3	0	0	23	0	11	12	0	0	0	0	
Slovenia	2	0	0	8,815	0	0	0	1,407	3,572	0	9,523	0	3,337	
Solomon Islands	0	0	0	0	0	135	0	0	0	0	0	0	0	
Somalia	26	0	0	23	0	1,068	0	0	0	42	0	2	0	
South Africa	107,635	127,054	169,636	211,430	280,369	361,707	429,339	265,541	460,309	467,224	583,952	666,800	901,548	
Spain	26,971	57,980	41,603	37,936	32,887	43,495	33,837	51,048	31,443	30,602	83,364	50,911	74,104	
Sri Lanka	0	17	46	0	4	29	0	0	0	275	157	0	68	
Sudan (North + South)	622	1	33	291	101	172	77	0	0	49	880	6	25	
Suriname	0	0	0	0	0	0	0	0	132	0	106	0	0	
Swaziland	686	1,039	17,454	5,594	4,761	8,229	829	354	1,298	1,961	4,220	14,410	4,878	
Sweden	13	117	76	289	55	58	4,833	539	1,363	1,049	5,856	647	109	
Switzerland	271	228	613	1,451	3,123	52,636	6,932	14,330	9,589	7,832	99,812	87,166	79,347	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	1,297	64	602	1,639	287	891	1,993	125	1,855	5,015	10	12,301	235	
Tajikistan	0	0	0	0	0	0	0	0	0	0	0	0	0	
