List of importing markets for a product exported by Central African Republic Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	74,304	69,464	65,667			109,837	131,087	114,201	80,532	89,816	103,937	116,076	48,322	
Albania	0	0	0			0	0	0	32	27	0	0	0	
Algeria	0	0	0			0	23	24	4	0	0	29	0	
America not elsewhere specified	0	0	0			23	0	0	0	0	0	0	0	
Andorra	0	0	0			0	0	0	14	0	0	0	0	
Angola	0	0	0			0	0	0	0	0	0	0	0	
Area Nes	3,630	1,114	439			3,022	0	0	0	0	0	0	0	
Argentina	0	0	0			0	0	0	0	0	0	0	0	
Australia	0	0	0			0	0	0	0	0	0	0	0	
Austria	0	0	0			0	0	0	0	0	7	0	0	
Azerbaijan	0	0	0			0	0	0	0	0	0	0	0	
Bangladesh	0	0	0			0	0	0	0	0	0	0	0	
Belarus	0	0	0			0	0	0	0	0	0	0	0	
Belgium	53,581	50,592	46,074			29,155	24,923	34,582	47,078	36,726	1,535	52,290	15,974	
Benin	20	0	0			0	17	0	15	0	0	0	36	
Bosnia and Herzegovina	0	0	0			0	0	0	0	0	0	0	0	
Botswana	0	0	0			0	0	0	0	0	0	0	0	
Brazil	0	0	0			0	0	0	0	0	51	0	0	
British Indian Ocean Territories	0	0	0			0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0			0	160	251	0	0	0	0	0	
Bulgaria	0	0	0			411	0	0	0	0	98	0	0	
Burkina Faso	15	0	0			0	0	0	0	0	0	0	0	
Burundi	0	0	0			0	0	0	0	0	0	294	23	
Cameroon	1,459	1,207	2,347			6,329	1,642	2,677	1,139	1,001	10,145	2,438	528	
Canada	0	0	0			3	0	0	93	59	28	0	0	
Caribbean Nes	407	35	86			0	0	0	0	0	0	0	0	
Chad	7	50	32			4	11	288	789	1,164	638	2,841	2,300	
Chile	0	0	0			0	0	0	0	0	0	0	0	
China	538	194	70			658	14,590	19,807	7,539	7,226	8,745	16,038	9,097	
Comoros	0	0	0			0	0	0	0	0	0	0	0	
Congo	154	22	47			23	0	0	0	60	872	461	294	
Costa Rica	0	0	0			0	112	0	0	0	0	90	0	
Côte d'Ivoire	15	0	78			10	0	0	4	0	195	1,555	0	
Croatia	0	0	0			0	0	0	0	6	37	21	20	
Cuba	0	0	0			0	0	0	0	0	0	0	0	
Cyprus	0	0	0			0	0	0	0	0	0	0	0	
