List of importing markets for a product exported by Azerbaijan Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	2,314,282	2,167,500	2,591,719	3,615,450	4,347,151	6,372,165	6,058,319	47,756,229	14,688,728	21,278,420	26,480,189	23,827,186	
Afghanistan	191	694	615	2,195	11,679	32,210	47,580	81,207	57,581	69,420	100,194	119,916	
Albania	2	0	0	1,654	0	637	11,191	8,348	2,735	6,940	10	0	
Algeria	62	0	178	0	1	4	0	31,402	385	39,487	2,242	2,867	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	88	35	0	342	0	98	7	2	15	25	2	23	
Anguilla	0	0	15	0	0	525	0	53	42	0	0	0	
Area Nes	0	0	0	13	0	0	0	465	140,740	454	718	991	
Argentina	15,022	2,081	0	6	115	91	70	96	56	17	13,422	25	
Aruba	0	0	0	0	0	0	0	0	0	29	145	84	
Australia	13	1	88	90	14	18	119	114	211	26,321	107	31,172	
Austria	64	12	434	1,121	1,566	2,126	2,542	2,630	9,022	779	3,965	139,980	
Bahamas	0	0	0	0	0	0	0	64,676	0	0	0	0	
Bahrain	0	0	0	0	5	4	5	7	0	510	8	15	
Bangladesh	0	0	0	1	0	0	0	0	0	9	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	1,029	914	954	789	1,175	1,471	2,324	5,205	5,171	7,210	666,771	11,691	
Belgium	619	1,223	1,434	692	6,307	9,541	14,820	1,061	17,088	1,287	2,889	2,684	
Belize	0	0	0	0	0	0	0	0	0	0	25	0	
Benin	0	0	0	0	0	0	0	0	0	15,873	0	0	
Bermuda	0	0	0	0	0	0	0	0	32	18	15	42	
Bolivia	17	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	3	5	0	0	0	0	0	0	0	2	0	2	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	247	6,894	0	14	7	29	69,175	182,709	86	186	96	316	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	46	781	0	0	44	6,281	1,509	339	53	0	0	0	
Brunei Darussalam	9	0	0	0	0	0	0	0	0	8	26	3	
Bulgaria	1,785	2,587	13,934	49,310	100,860	6,308	5,693	194,441	128,471	136,536	410,411	597,562	
Burkina Faso	0	0	263	0	0	0	0	0	0	0	0	0	
Cambodia	1	13	0	0	0	0	0	0	0	7	0	0	
Cameroon	55	41	0	5	0	0	0	0	3	0	0	0	
Canada	547	295	321	238	306	716	2,263	566,529	587,482	317,068	226	8,482	
Cayman Islands	0	0	0	0	0	0	0	0	0	12	15	9	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	29	0	0	0	0	114,629	933,981	0	0	0	0	
China	2,439	1,312	19,286	31,718	99,238	6,390	10,104	498,968	129,873	338,850	39,011	183,769	
Colombia	0	0	0	0	2	37	373	23	91	6	4	46	
Comoros	0	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	59	0	27	0	0	80	0	0	29	26	15	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	
Croatia	24,348	7,277	61,076	109,169	176,910	3,559	39,864	542,657	193,741	787,169	347,711	330,589	
Cuba	1,117	705	1,271	712	407	471	260	304	242	140	0	0	
Cyprus	1	221	3,823	7,731	3,822	26,995	34,389	23,423	1,098	37,906	68,022	23,392	
Czech Republic	62	152	678	238	787	44	373	2	1,492	234	203,904	511,763	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	45	0	0	
Denmark	71	58	32	107	70	52	216	16	819	241	1,422	2,167	
Djibouti	0	176	0	0	0	0	0	0	0	0	0	0	
Dominica	0	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	1	2	0	0	0	0	0	0	0	0	1	16	
Egypt	5,260	175	31	568	38,887	30	39	35,049	14,312	108,439	161,089	24,464	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	264	104	0	0	0	0	0	0	252	1	2	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	262	24	180	98	1,463	525	501	761	396	462	664	379	
Ethiopia	0	0	0	0	0	0	0	0	0	6	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	64	1	57	28	140	0	81	160,782	294	25	69	49	
France	66,474	166,282	209,725	66,890	406,717	347,580	258,843	2,322,668	1,326,112	1,856,524	4,036,653	1,775,644	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	5	0	0	0	0	0	0	0	0	10	12	
Georgia	103,236	80,828	111,460	188,851	208,436	285,275	343,820	490,740	395,008	410,969	535,309	570,726	
Germany	12,864	28,773	7,307	37,597	34,802	9,005	19,731	205,486	86,748	9,906	523,364	964,767	
Ghana	0	3,775	0	0	0	0	0	0	0	2	66	43	
Gibraltar	3,037	95	0	648	5,904	27,775	28,740	0	0	0	0	0	
Greece	50,831	54,124	71,426	20,226	95,673	181,983	115,077	290,884	179,745	255,013	208,124	833,834	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea	0	0	160	0	684	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	74	36	7,206	18,067	12,648	50,631	45,763	75,631	7,246	12	0	759	
Hungary	0	2	0	0	1	7	0	6	50	70	35	57	
Iceland	85,854	0	0	0	0	0	0	0	11	6	0	20	
India	803	2,245	1,309	5,385	1,625	1,008	144,948	2,432,497	266,870	299,643	366,848	1,890,656	
Indonesia	14	0	28	129,357	0	13	390,293	1,411,086	660,653	782,161	913,153	1,757,318	
Iran (Islamic Republic of)	9,144	29,884	49,129	153,545	166,468	295,902	434,731	355,648	90,072	124,981	144,829	87,342	
Iraq	0	3	1,479	3,564	10,372	11,994	33,799	59,636	47,233	31,320	99,096	418,427	
Ireland	18	1	1	77	3	14	11	0	4	27	42	27,697	
Israel	164,130	154,057	138,113	323,738	195,063	684,829	369,846	3,605,830	1,236,197	1,744,822	817,575	1,666,619	
Italy	1,324,065	1,082,720	1,345,948	1,614,856	1,315,742	2,845,408	940,929	19,220,144	3,788,439	7,044,154	9,340,999	5,547,998	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0	
Japan	188	263	19,799	347	18	45	1	145,887	84	164	440	959	
Jordan	26	406	206	4	0	0	138	0	265	20	58	45	
Kazakhstan	6,617	11,570	10,133	9,418	17,166	105,656	127,594	290,249	142,149	44,591	58,281	52,870	
Kenya	0	0	0	1	0	0	0	0	0	0	0	0	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	
