List of importing markets for a product exported by Cameroon Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	1,744,967	1,809,264	2,282,560	2,476,762	2,440,616	3,576,420	4,230,115	2,126,728	1,732,408	3,878,433	2,147,386	4,274,981	
Afghanistan	0	0	0	0	0	0	0	0	0	49	0	0	
Albania	0	0	0	0	0	0	0	0	18	0	22	104	
Algeria	1,215	1,436	5,737	3,032	1,728	6,648	4,205	4,601	6,720	1,805	5,738	2,868	
America not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	26	3	1	1	0	4	
Angola	14,621	831	1,988	6,953	2,861	2,108	18,170	13,383	3,754	1,497	2,136	13,019	
Antigua and Barbuda	0	0	0	0	0	0	0	136	0	61	395	37	
Area Nes	5,992	22,981	71,448	431,335	13,760	2,738	110,852	6	0	0	0	0	
Argentina	0	0	0	0	9	0	3	0	77	0	433	179	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	31	55	243	173	551	160	473	1,196	1,225	452	1,094	168	
Austria	0	31	102	0	3	0	7	1	1	1	0	3	
Azerbaijan	0	0	0	0	0	0	0	0	14	17	17	0	
Bahamas	0	0	268	273	352	245	107	0	0	0	0	0	
Bahrain	0	0	0	0	0	509	964	0	0	436	774	0	
Bangladesh	4,736	5,454	9,683	9,445	5,841	3,510	6,080	7,782	6,763	12,552	17,978	2,302	
Barbados	0	0	0	0	0	0	416	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	39,661	38,450	56,583	96,254	114,514	122,061	66,667	73,629	67,809	73,372	118,135	116,281	
Belize	0	0	0	0	0	0	0	1	0	0	0	0	
Benin	1,340	1,395	3,092	11,056	23,910	5,226	36,579	1,777	2,040	14,281	1,310	4,318	
Bermuda	0	0	0	0	0	0	0	0	47	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	52	0	
Bosnia and Herzegovina	0	0	0	0	0	0	716	0	0	17	0	0	
Botswana	0	0	0	4	0	0	0	0	0	0	0	0	
Brazil	432	723	909	1,203	543	498	11,776	1,385	3,547	3,070	3,055	6,197	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	7,997	0	144	0	0	0	0	
Bulgaria	0	0	0	175	53	45	239	176	51	923	327	238	
Burkina Faso	3	31	58	1	459	114	3,770	1,651	953	3,320	5,724	4,557	
Burundi	0	0	0	0	1	25	0	1	23	41	0	16	
