List of importing markets for a product exported by Slovenia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	9,252,430	10,356,931	12,766,871	15,878,766	17,896,024	20,982,713	26,551,122	29,252,924	22,405,415	24,434,752	28,984,136	27,080,022	28,734,599	
Afghanistan	32	343	96	1,151	608	1,354	331	90	283	1,979	1,147	2,640	1,932	
Africa not elsewhere specified	0	0	0	0	0	0	0	39	7	1	0	7	58	
Albania	8,718	10,731	13,681	19,703	22,757	32,975	36,789	48,068	55,790	53,289	53,630	48,389	47,214	
Algeria	10,349	7,155	9,269	30,074	26,716	37,063	89,912	128,039	122,663	124,396	170,395	277,111	215,146	
Andorra	151	159	265	367	493	764	446	503	543	552	437	407	314	
Angola	88	26	48	29	99	211	813	279	1,315	501	68	927	2,942	
Anguilla	0	0	0	0	0	2	0	0	2	1	0	0	0	
Antigua and Barbuda	1	147	0	53	0	0	0	234	1	7	0	3	6	
Area Nes	41	47	47	12	3	5,603	10,826	11,366	8,733	9,880	11,955	11,315	13,831	
Argentina	4,321	1,002	2,110	2,067	2,920	4,747	5,315	5,005	4,492	7,453	28,006	32,312	32,333	
Armenia	749	625	708	1,076	2,678	2,949	6,296	9,295	11,516	6,611	7,493	6,433	8,626	
Aruba	0	0	0	1	4	0	0	0	0	0	344	115	25	
Australia	20,139	23,501	30,538	27,696	35,508	40,781	39,827	37,798	29,540	35,010	47,965	80,252	103,192	
Austria	692,260	730,355	935,091	1,185,979	1,442,893	1,820,197	2,072,869	2,293,940	1,746,135	1,974,695	2,245,198	2,225,747	2,409,561	
Azerbaijan	2,014	1,547	1,958	2,216	2,764	4,127	6,874	12,785	9,111	8,511	10,920	12,886	17,575	
Bahamas	249	1	0	7	12	2	23	118	295	6	169	432	588	
