List of importing markets for a product exported by Aruba Product: TOTAL All products
"Importers"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	106,205				135,747	124,523	151,360	173,061	
Anguilla	0				0	0	0	0	
Antigua and Barbuda	401				0	0	0	0	
Area Nes	295				6,166	4,013	7,631	6,178	
Argentina	1				0	3	0	51	
Australia	0				0	0	0	0	
Austria	0				0	0	0	0	
Bahamas	32				0	0	0	830	
Bahrain	58				0	0	0	0	
Barbados	15				0	0	0	0	
Belgium	3,872				323	279	262	223	
Bermuda	19				0	0	0	0	
Bolivia	2				0	0	0	0	
Brazil	52				3	8	0	295	
Bulgaria	0				0	0	0	0	
Canada	46				15	13	63	165	
Cayman Islands	72				0	0	0	0	
Chile	21				0	221	0	0	
China	46				124	157	363	526	
Colombia	12,683				23,815	33,811	59,884	68,136	
Costa Rica	24				0	18	2	59	
Cuba	23				0	0	0	0	
Cyprus	30				0	0	0	0	
Denmark	0				37	49	24	1	
Dominica	8				0	0	0	0	
Dominican Republic	99				0	0	0	0	
Ecuador	15				0	0	0	0	
El Salvador	0				0	0	0	0	
Finland	0				0	0	116	10	
France	0				452	208	407	501	
Germany	17				7	26	3	2	
Greece	41				0	0	0	0	
Grenada	15				0	0	0	0	
Guatemala	1				0	0	0	0	
Guyana	0				0	0	0	0	
Haiti	25				0	0	0	0	
Honduras	50				0	0	0	7	
Hong Kong, China	0				44	27	6	1	
Hungary	0				0	0	0	0	
India	13				38	98	42	169	
Indonesia	0				0	0	0	0	
Iran (Islamic Republic of)	0				0	0	0	0	
Ireland	0				0	0	0	0	
Israel	0				0	0	0	0	
Italy	0				5	26	1	28	
Jamaica	105				38	28	15	25	
Japan	2				4	0	36	2	
Korea, Republic of	0				33	29	174	330	
Lebanon	0				0	0	0	0	
Liberia	0				0	0	0	0	
Luxembourg	0				0	0	0	0	
Malaysia	0				0	0	0	0	
Malta	0				0	0	0	0	
Mexico	87				650	294	1,061	687	
Netherland Antilles	9,458				26,512	18,973	24,140	7,087	
Netherlands	35,580				10,406	6,365	6,720	5,834	
New Zealand	0				0	0	0	0	
Norway	0				0	0	0	0	
Pakistan	0				0	0	0	0	
Panama	17,768				32,790	27,595	126	5,040	
Paraguay	99				0	39	277	0	
Peru	32				15	3	0	3	
Philippines	0				0	0	0	0	
Poland	0				0	0	0	0	
Portugal	14				0	0	0	0	
Qatar	0				0	0	0	0	
Romania	0				0	0	0	0	
Russian Federation	0				0	0	0	0	
Saint Kitts and Nevis	2				0	0	0	0	
Saint Lucia	29				0	0	0	0	
Saint Vincent and the Grenadines	0				0	0	0	0	
Sao Tome and Principe	0				45	4	0	62	
Saudi Arabia	0				0	0	0	0	
Singapore	3				0	0	0	0	
South Africa	0				0	0	0	0	
Spain	69				35	261	278	84	
Sudan (North + South)	0				0	0	0	0	
Suriname	821				1,976	3,899	1,823	1,615	
Sweden	1				0	0	30	1	
Switzerland	3				85	231	457	81	
Taipei, Chinese	199				994	508	1,257	1,557	
Thailand	23				71	11	0	0	
Trinidad and Tobago	537				261	708	48	207	
Turkey	4				0	0	11	1	
Ukraine	7				0	0	0	0	
United Arab Emirates	1				0	0	0	0	
United Kingdom	633				501	359	522	13	
United States of America	11,938				12,883	7,519	15,454	22,514	
Uruguay	69				0	0	3	0	
Venezuela	10,743				17,419	18,739	30,125	50,736	
