List of importing markets for a product exported by Papua New Guinea Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	1,804,715	1,625,124	2,260,152	2,722,217							5,499,320	4,517,686	
Afghanistan	0	0	2,917	0							0	0	
Albania	0	0	0	0							0	0	
Algeria	0	0	0	0							0	0	
Andorra	0	0	0	0							0	975	
Angola	0	0	0	0							0	0	
Anguilla	0	4	1	0							233	38	
Antigua and Barbuda	0	0	0	0							0	47,336	
Area Nes	1,190,471	706,072	1,228,984	1,519,648							0	0	
Argentina	0	22	0	0							0	0	
Armenia	0	0	0	0							0	0	
Aruba	0	0	0	0							0	0	
Australia	64,948	740,183	358,217	286,163							2,353,206	1,621,045	
Austria	76	0	110	285							149	0	
Azerbaijan	0	0	0	0							0	0	
Bahamas	0	2	0	0							0	0	
Bahrain	0	0	0	0							0	0	
Bangladesh	51	0	69	25							25	0	
Barbados	0	0	0	0							0	0	
Belgium	10,936	184	21,061	10,576							33,879	32,988	
Belize	0	0	0	0							0	0	
Bermuda	0	0	0	0							0	0	
Bhutan	0	0	112	0							0	0	
Bolivia	0	0	0	0							0	0	
Bosnia and Herzegovina	0	0	0	0							0	0	
Botswana	168	0	0	0							0	0	
Brazil	0	0	0	0							1,148	335	
British Virgin Islands	0	0	0	0							0	0	
Brunei Darussalam	5	0	78	0							0	0	
Bulgaria	14	3	115	10							756	766	
Burundi	0	0	0	0							0	0	
Cabo Verde	0	0	0	0							0	0	
Cambodia	21	0	124	0							0	0	
Cameroon	0	0	0	0							7	8	
Canada	3,846	9	1,373	746							2,719	495	
Cayman Islands	0	0	0	0							0	0	
Central African Republic	0	0	0	0							0	0	
Chile	0	0	23	0							0	564	
China	26,945	67	28,919	108,300							353,046	302,113	
Cocos (Keeling) Islands	0	0	0	0							0	0	
Colombia	5	0	0	0							1,550	178	
Congo	0	2	0	0							298	0	
Cook Islands	0	0	1	51							0	0	
Costa Rica	0	0	0	0							106	0	
Côte d'Ivoire	13	0	0	0							0	0	
Croatia	0	0	11	16							0	151	
Cuba	0	0	9	0							0	0	
Cyprus	0	2	0	0							0	0	
Czech Republic	0	0	10	0							67	909	
Democratic Republic of the Congo	4,302	0	0	0							0	0	
Denmark	2	60	871	824							3,320	2,050	
Djibouti	0	0	0	0							0	0	
Dominica	1	0	67	277							0	0	
Dominican Republic	0	0	0	0							0	0	
Ecuador	0	0	0	0							0	0	
Egypt	0	0	0	3							0	304	
El Salvador	0	0	33	0							0	0	
Estonia	0	0	0	0							0	0	
Ethiopia	0	0	0	0							0	57	
Falkland Islands (Malvinas)	0	0	0	0							0	0	
Faroe Islands	0	0	0	0							0	0	
Fiji	219	990	808	1,007							1,502	1,280	
Finland	11	8	137	494							272	274	
France	714	43	14,592	7,866							2,622	5,559	
Free Zones	54,960	4,972	999	0							0	0	
French Polynesia	46	0	448	823							348	320	
French South Antarctic Territories	0	0	0	0							0	0	
Gabon	0	0	0	0							0	0	
Gambia	0	27	16,754	3,843							38	921	
Georgia	0	0	0	0							1,514	1,478	
Germany	32,798	115,696	76,613	164,161							347,799	318,137	
Ghana	0	0	0	0							0	0	
Greece	115	6	9,937	2,838							0	73	
Greenland	0	0	0	0							0	0	
Grenada	0	0	0	0							0	0	
Guinea	0	0	0	0							0	0	
Guyana	0	0	22	0							0	0	
Haiti	0	0	0	83							0	0	
Honduras	0	0	0	39							457	24	
Hong Kong, China	27,709	1,151	8,958	17,064							16,799	15,843	
Hungary	0	0	0	0							0	0	
Iceland	0	0	5	0							39,815	0	
India	20	217	15,399	30,717							82,390	204,138	
