List of importing markets for a product exported by Grenada Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	
World	58,638	38,261	37,971	31,574	27,645	25,371	33,411	30,538	
Albania	0	0	0	1	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	
Anguilla	0	1	0	0	0	1	0	0	
Antigua and Barbuda	1,131	1,167	1,071	633	858	948	680	1,020	
Area Nes	42	48	341	0	0	0	0	0	
Argentina	772	673	521	592	510	0	0	68	
Aruba	0	0	3	0	0	6	2	0	
Australia	0	0	0	0	0	0	1	21	
Austria	0	0	0	1	0	0	0	0	
Bahamas	0	0	0	11	0	0	19	0	
Bahrain	0	0	0	0	0	0	0	0	
Bangladesh	0	16	0	1	0	0	0	4	
Barbados	1,741	1,921	1,470	1,455	1,749	1,576	1,687	2,863	
Belgium	1,041	1,713	2,030	2,404	394	541	565	1,045	
Belize	7	33	57	14	9	2	0	0	
Bermuda	0	0	0	0	6	1	0	0	
Brazil	193	88	4	130	0	0	0	0	
British Virgin Islands	0	0	1	2	19	27	4	1	
Bulgaria	0	0	0	0	0	0	5	0	
Burkina Faso	0	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	
Canada	653	391	611	645	700	658	564	890	
Cayman Islands	0	0	0	2	0	15	1	0	
Chile	0	0	0	0	0	0	0	0	
China	20	0	27	5	37	64	94	186	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	
Colombia	272	181	25	16	149	39	2	1	
Comoros	0	0	0	0	0	0	0	0	
Congo	0	0	0	85	0	0	0	0	
Costa Rica	0	0	4	0	0	0	0	14	
Cuba	0	8	0	0	0	0	0	0	
Cyprus	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	
Denmark	19	14	73	97	0	4	0	1	
Dominica	1,850	952	564	786	1,262	2,426	2,458	5,009	
Dominican Republic	195	184	675	175	281	110	0	0	
Ecuador	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	
El Salvador	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	
Finland	0	0	5	0	0	0	12	121	
France	848	1,702	796	1,712	1,626	622	4,775	327	
French South Antarctic Territories	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	
Germany	4,046	2,111	2,410	1,497	449	93	254	1,824	
Ghana	0	0	0	0	0	0	0	0	
Greece	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	
Guinea	2	0	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	
Guyana	188	364	444	424	705	401	388	629	
Haiti	0	0	0	0	1	0	0	53	
Honduras	0	0	0	0	0	0	0	0	
Hong Kong, China	0	0	0	0	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	
India	1	0	0	4	49	11	0	13	
Indonesia	0	0	0	4	0	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	0	0	0	
Ireland	7,000	0	0	0	0	0	0	2	
Israel	0	0	0	1	0	0	0	0	
Italy	246	7	21	0	3	2	66	101	
Jamaica	692	591	570	590	566	596	688	524	
Japan	115	215	222	845	176	396	6,460	1,131	
Jordan	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	
Korea, Republic of	1	2	0	52	0	0	6	12	
Latvia	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	0	0	0	0	0	
Lesotho	0	0	0	0	0	0	0	4	
Lithuania	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	
Madagascar	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	3	0	
Maldives	0	0	0	0	0	0	0	0	
Mali	0	0	0	0	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	
Marshall Islands	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	
Mexico	0	5	0	37	0	0	23	3	
Montserrat	29	0	5	92	105	106	116	108	
Morocco	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	0	0	
Netherland Antilles	8	3	0	110	130	166	30	30	
Netherlands	7,089	7,365	3,803	5,231	3,939	1,213	1,634	1,001	
New Caledonia	0	0	0	0	0	0	0	0	
New Zealand	0	0	0	0	0	11	0	0	
Nicaragua	0	0	0	332	0	0	0	0	
Niger	0	0	0	0	0	0	0	11	
Nigeria	0	0	0	0	0	2	0	0	
Norfolk Island	0	0	0	0	0	0	0	0	
Norway	0	0	1	0	0	0	0	0	
Oman	0	0	0	0	0	0	0	0	
Pakistan	0	0	0	0	0	0	0	0	
Panama	0	0	4	10	33	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	
Pitcairn	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	1	0	0	
Portugal	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	0	0	0	0	2	
Rwanda	0	0	0	2	0	0	0	0	
Saint Kitts and Nevis	1,435	1,423	1,917	1,650	1,637	1,858	1,514	2,609	
Saint Lucia	2,575	2,929	2,864	1,989	2,575	3,348	2,759	3,418	
Saint Vincent and the Grenadines	434	482	929	517	664	894	941	987	
Sao Tome and Principe	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	4	0	0	0	0	0	
Senegal	0	0	0	0	0	0	0	0	
Serbia	0	0	0	0	0	0	0	0	
Serbia and Montenegro	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	0	0	0	0	
Singapore	0	0	0	0	0	0	0	0	
Slovakia	0	0	0	0	0	0	0	0	
Slovenia	0	0	0	0	0	0	0	0	
Solomon Islands	0	0	0	0	0	0	0	0	
Somalia	0	0	0	0	0	0	0	0	
South Africa	0	0	0	0	0	0	0	0	
Spain	62	282	15	84	0	1	9	0	
Sri Lanka	0	0	0	0	0	0	0	0	
Sudan (North + South)	0	0	1	0	0	0	0	0	
Suriname	49	44	27	56	48	69	77	73	
Swaziland	0	0	0	0	0	0	0	0	
Sweden	10	0	3,527	11	145	0	0	0	
Switzerland	7	0	0	0	6	17	201	338	
Syrian Arab Republic	0	0	0	0	0	0	0	0	
Taipei, Chinese	0	0	0	0	2	48	6	24	
Thailand	0	0	0	0	0	0	0	0	
Timor-Leste	0	0	0	0	0	0	0	0	
Tokelau	0	0	0	0	0	0	0	0	
Tonga	0	0	0	0	0	0	0	0	
Trinidad and Tobago	2,601	1,602	1,546	506	2,756	1,840	1,275	584	
Tunisia	0	0	0	0	0	0	0	0	
Turkey	0	0	0	1	0	0	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	
Ukraine	0	0	0	0	0	0	0	0	
United Arab Emirates	0	0	0	0	0	0	0	0	
United Kingdom	643	476	369	1,406	150	228	298	486	
United States Minor Outlying Islands	0	0	0	0	0	0	0	0	
United States of America	22,558	11,218	11,012	7,352	5,905	7,030	5,762	4,985	
Uruguay	35	41	0	0	0	0	0	0	
Venezuela	28	13	0	6	0	0	30	11	
Viet Nam	0	0	0	0	0	0	0	1	
Zimbabwe	0	0	0	0	0	0	0	0	
