List of importing markets for a product exported by Belarus Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	7,450,644	8,020,912	9,945,588	13,751,700	15,977,221	19,738,543	24,275,244	32,570,781	21,304,173	25,283,462	41,418,672	46,059,935	37,557,863	
Afghanistan	1,844	9,001	16,061	13,694	11,730	7,742	6,261	8,441	13,790	14,674	140,251	156,303	4,818	
Albania	30	20	23	57	5,115	1,965	0	77	156	896	2	1,891	174	
Algeria	23,518	16,474	11,406	6,244	4,898	3,768	1,357	1,392	4,632	12,418	5,047	1,834	2,543	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	1,638	7,384	1,488	135	2,391	5,149	38	16,246	471	3,193	2,639	658	1,143	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	41,211	42,316	42,346	51,894	62,146	76,592	55,025	0	5,778	231,100	679,559	1,072,255	890,108	
Argentina	114	5	649	1,636	3,411	3,561	6,039	26,033	3,522	22,984	60,187	7,973	995	
Armenia	1,227	2,931	7,345	8,759	12,848	19,515	20,265	23,639	23,236	42,111	24,157	31,060	29,812	
Aruba	0	0	0	0	0	0	2	0	0	0	1	6	0	
Australia	2,321	2,970	2,358	1,417	5,746	24,742	6,305	24,135	12,406	2,760	29,989	32,398	12,014	
Austria	10,981	10,065	16,159	18,123	16,783	21,803	29,824	37,185	24,145	30,911	26,411	20,180	29,071	
Azerbaijan	4,989	4,476	8,734	14,918	28,038	34,458	86,427	105,428	120,264	140,155	138,558	139,168	164,232	
Bahamas	7	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	6	180	456	6	29	0	0	0	9	141	157	
Bangladesh	5,193	7,799	10,828	17,219	9,602	22,013	31,039	2,733	23,102	49,771	120,497	56,969	115,427	
Barbados	0	0	0	0	0	0	70	376	0	29	531	456	117	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	16,564	39,856	63,723	95,997	78,714	95,852	101,359	194,040	87,318	103,801	162,680	206,395	164,167	
Belize	0	676	0	54	0	299	465	1,439	1,669	1,066	1,929	970	825	
Benin	497	0	36	0	0	0	557	298	1,347	4	250	97	166	
Bermuda	0	0	0	0	0	1	1	10	3	3	0	2	13	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	1	6	9	0	1	0	63	0	0	0	46	262	97	
Bosnia and Herzegovina	633	4,020	77	4,209	11,793	5,409	6,782	6,435	2,810	7,810	4,165	3,936	9,644	
Botswana	0	19	0	29	0	2,789	937	3	0	0	0	0	0	
Brazil	76,705	89,419	113,371	146,390	167,452	207,430	371,109	1,073,704	444,845	705,468	1,224,120	801,650	520,261	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	7,007	6,655	1,336	394	1,053	3,415	250	258	2,451	11,523	211	3,753	7,462	
Brunei Darussalam	0	0	0	0	0	0	0	0	30	0	7	0	120	
Bulgaria	7,814	7,954	11,558	24,975	23,547	35,290	32,491	46,925	19,943	19,902	33,317	29,086	21,669	
Burkina Faso	0	340	1,401	4	1,691	1,734	218	0	0	4	7,412	49	281	
Burundi	0	0	0	24	29	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	2	21	0	0	
Cambodia	5	20	0	0	0	0	0	0	0	62	50	1,828	5,305	
Cameroon	1,933	1,841	2,100	693	946	2,156	5,519	4,861	9,327	16,590	14,300	5,690	3,645	
Canada	3,133	4,916	7,214	7,553	9,670	9,033	10,472	15,925	4,909	34,313	12,467	34,002	26,859	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	2	0	
Central African Republic	16	0	5	0	0	0	0	0	0	1,039	61	6	0	
Chad	10	53	360	63	0	0	0	0	0	115	0	184	741	
Chile	67	994	984	143	3,253	2,092	3,813	1,816	4,899	1,783	8,017	17,794	4,772	
China	143,054	217,429	162,252	301,491	430,866	399,149	484,528	613,371	173,952	475,764	631,597	432,010	460,548	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	2,349	1,866	3,706	1,257	798	1,909	23,252	79,891	49,070	45,746	95,666	29,192	12,057	
Comoros	0	0	0	0	0	0	0	0	0	0	0	0	0	
Congo	95	122	248	231	743	1,270	3,098	3,203	4,112	1,912	559	1,521	1,236	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	7	0	1,341	2,752	1,303	16,044	0	7,218	6,737	3,327	82	
Côte d'Ivoire	2,379	9,951	11,644	5,583	6,199	9,342	12,717	22,071	8,436	32,848	24,154	16,347	20,613	
Croatia	13,472	10,461	14,582	18,151	20,739	23,262	32,421	84,840	7,740	38,962	38,408	39,357	17,013	
Cuba	7,149	5,277	5,914	6,892	13,182	10,341	14,801	35,098	15,163	6,861	33,815	44,619	30,606	
Cyprus	2,832	4,063	184	2,039	16,803	30,032	45,860	91,775	33,092	65,100	62,740	35,572	23,810	
Czech Republic	35,431	36,276	49,286	53,232	55,773	69,103	80,100	105,003	58,693	90,284	110,856	129,766	95,853	
Democratic Republic of the Congo	0	0	0	0	275	0	0	0	0	0	935	1,632	608	
Denmark	24,259	26,237	105,784	131,062	66,580	56,017	34,190	22,452	26,375	27,679	16,584	13,559	9,193	
Djibouti	250	105	22	25	2,611	0	0	0	0	9	0	15	3	
Dominica	0	0	0	0	0	0	617	1,240	359	0	0	142	0	
Dominican Republic	2,653	8	1	0	96	302	385	44	7	202	263	257	896	
Ecuador	2,415	808	2,500	2,032	0	6,551	8,225	28,352	8,777	12,071	20,766	5,155	5,268	
Egypt	19,977	12,000	8,452	22,727	32,495	37,020	57,083	92,575	66,498	47,713	42,509	75,850	34,898	
