List of importing markets for a product exported by Dominican Republic Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	814,349	5,229,322	5,496,364	5,938,370	6,183,383	6,079,884	6,793,734	6,421,634	4,374,408	4,766,734	6,112,524	6,902,481	7,960,986	
Afghanistan	0	0	0	1	0	80	2	0	0	0	0	0	231	
Africa not elsewhere specified	4	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	4	0	0	0	0	0	0	11	1	27	14	
Algeria	0	0	0	0	0	9	0	20	0	1,119	0	44	0	
Andorra	15	90	64	0	18	38	28	7	8	333	79	83	39	
Angola	0	0	0	0	0	0	0	128	55	3	22	20	200	
Anguilla	2,764	212	44	344	1,235	450	3,684	4,568	519	388	612	624	772	
Antigua and Barbuda	492	422	425	1,413	2,551	1,007	8,167	13,338	6,451	3,197	3,463	12,028	4,271	
Area Nes	125,515	542,186	448,598	1,075,243	903,033	665,374	1,551,953	1,203,266	23	268	15,805	8,021	15,532	
Argentina	118	165	210	234	297	434	1,202	975	786	385	8,774	26,911	25,046	
Armenia	0	0	10	0	4	27	9	1	0	0	0	2	17	
Aruba	0	986	1,353	1,031	1,285	4,649	3,967	2,693	3,092	4,160	23,425	33,193	7,696	
Australia	247	1,470	1,125	1,553	703	2,198	6,148	4,525	4,063	7,314	8,981	6,373	6,407	
Austria	215	137	619	2,397	4,864	11,456	5,421	10,957	2,916	1,449	763	332	259	
Azerbaijan	0	0	0	30	0	0	0	0	0	2	0	0	0	
Bahamas	682	639	606	938	2,582	2,054	3,762	3,182	4,222	2,367	2,160	4,668	3,668	
Bahrain	0	0	1	0	0	62	0	0	0	0	0	0	0	
Bangladesh	0	0	1	0	446	3,342	4,593	2,702	3,324	5,042	3,361	2,083	3,870	
Barbados	1,399	1,813	2,181	2,116	3,443	3,959	3,801	6,277	5,225	5,716	19,454	11,811	7,812	
Belarus	0	0	0	0	0	0	1	18	27	0	0	0	0	
Belgium	66,985	57,938	41,154	20,499	41,938	65,899	133,497	163,157	86,222	97,691	84,841	51,957	88,143	
Belize	39	25	113	58	8	47	87	156	254	94	109	1,825	289	
Benin	0	0	0	82	0	1	107	28	122	0	18,170	95	1	
Bermuda	49	80	32	53	46	85	983	1,531	2,971	2,721	2,173	2,048	1,313	
Bhutan	1	216	1	0	0	0	0	0	0	0	0	0	0	
Bolivia	1	84	843	955	659	511	925	1,532	676	1,194	269	529	433	
Bosnia and Herzegovina	0	4	2	4	56	0	0	20	0	0	0	0	0	
Botswana	0	0	0	0	0	0	4	1	0	0	0	0	0	
Bouvet Island	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	174	691	566	83,425	986	889	2,168	11,979	10,574	7,318	4,003	7,359	8,771	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	263	362	552	1,106	2,246	874	5,430	2,679	2,325	1,335	2,738	2,747	1,415	
Brunei Darussalam	0	0	0	0	0	0	148	56	8	561	15	98	0	
Bulgaria	0	0	13	30	138	90	163	439	43	223	125	223	16,031	
Burkina Faso	0	0	5	114	0	0	14	0	4	0	0	381	0	
Burundi	1	0	1	0	82	0	6	2	323	0	0	0	0	
Cabo Verde	5,098	0	0	0	0	0	0	0	0	0	0	0	2	
Cambodia	0	2	1	0	0	0	0	0	0	0	0	0	81	
Cameroon	0	0	0	0	0	0	0	0	0	0	333	494	0	
Canada	19,947	24,935	55,404	80,730	40,150	101,215	36,798	38,784	23,316	25,972	48,109	64,018	974,053	
Cayman Islands	3	42	110	679	140	99	336	438	137	613	938	959	2,319	
Central African Republic	0	0	0	0	0	0	53	6,459	2,485	2,308	339	45	61	
Chad	0	0	1	12	768	0	0	0	0	0	0	1,545	0	
Chile	274	1,589	2,086	2,089	2,156	1,573	5,361	10,766	12,188	13,475	18,538	10,591	18,246	
China	298	1,419	2,024	12,242	36,228	84,346	249,687	116,714	91,252	125,473	330,299	355,807	231,688	
Christmas Islands	0	0	0	164	0	0	0	0	0	0	564	0	0	
Cocos (Keeling) Islands	54	0	0	0	0	0	108	0	0	0	0	0	0	
Colombia	1,142	1,537	1,257	1,924	4,119	9,409	5,765	9,155	5,760	5,696	14,105	25,253	42,373	
Comoros	0	0	0	0	0	0	0	0	4	0	2	0	0	
Congo	12	16	0	0	0	0	0	0	0	0	346	0	274	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	185	0	
Costa Rica	2,475	3,515	4,613	3,822	6,073	13,079	20,180	30,470	17,689	18,221	21,189	27,275	23,762	
Côte d'Ivoire	0	20	0	23	0	0	0	0	0	5	1	0	145	
Croatia	112	4	33	11	117	32	26	29	2	6	0	43	88	
Cuba	10,756	8,862	8,554	15,195	11,490	14,488	35,701	59,141	23,821	31,148	35,135	30,097	39,849	
Cyprus	0	0	383	256	58	64	80	145	137	89	79	323	208	
Czech Republic	15	115	925	1,011	721	443	2,028	2,688	2,765	526	2,154	1,944	681	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	0	160	0	
Denmark	213	306	578	1,376	1,042	342	565	220	220	286	1,127	2,289	4,855	
Djibouti	0	0	0	0	0	0	7	0	0	0	0	0	0	
Dominica	708	568	490	628	612	598	3,210	4,906	4,506	3,539	4,697	3,890	3,638	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	67	346	553	897	4,237	3,243	6,359	10,791	7,174	4,090	10,333	8,521	8,420	
Egypt	0	19	29	170	492	300	580	597	518	14	121	1	3	
El Salvador	721	1,308	2,162	1,530	3,158	2,924	3,752	6,811	9,223	5,200	4,098	4,917	5,489	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	53	0	3	858	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	5	0	
Estonia	25	0	25	159	140	228	70	79	23	12	160	333	483	
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	64	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	417	0	0	0	0	0	0	0	0	0	0	
Fiji	0	15	0	0	0	0	0	0	0	0	0	2	0	
Finland	109	1,777	916	1,122	1,038	1,775	597	677	185	50	242	453	233	
France	6,021	30,298	19,068	18,292	15,867	13,168	16,653	40,063	17,741	18,015	37,714	29,479	30,134	
French Polynesia	0	0	0	32	0	0	0	0	4	0	0	0	200	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	17	0	0	0	0	0	0	0	0	0	45	0	
Gambia	0	0	0	0	0	0	0	0	0	50	0	0	0	
Georgia	0	0	0	12	64	0	2,377	6,556	3,978	891	0	33	92	
Germany	5,536	22,202	20,892	34,894	43,209	32,840	47,597	47,612	47,040	48,521	59,129	81,456	106,295	
Ghana	0	0	770	0	6	1	20	204	474	149	81	155	651	
Gibraltar	0	0	24	0	0	0	22	49	127	103	210	0	452	
Greece	19	1,739	972	829	1,782	659	1,868	2,205	746	1,299	936	1,044	864	
Greenland	0	25	192	0	26	0	0	0	0	0	0	0	0	
Grenada	58	99	261	228	289	857	1,032	1,604	1,735	2,131	1,834	1,507	2,806	
Guatemala	1,459	2,022	6,111	4,302	5,069	9,073	10,413	11,387	9,627	16,171	47,393	130,048	64,142	
