List of importing markets for a product exported by Seychelles Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	
World	216,157	226,796	273,846		339,724	379,935		340,648	
Afghanistan	0	0	0		7	3		4	
Albania	0	0	0		0	0		0	
Algeria	0	0	0		5	0		0	
Andorra	0	0	0		0	0		0	
Angola	0	0	0		4	0		0	
Anguilla	0	0	0		0	0		0	
Antigua and Barbuda	0	0	0		3	0		0	
Area Nes	51,457	12	0		0	0		93,066	
Argentina	0	0	0		0	73		0	
Armenia	0	0	0		0	0		62	
Australia	415	447	351		243	270		622	
Austria	1,139	729	4		16	11		10	
Bahamas	0	2	5		0	0		0	
Bahrain	3	165	13		0	0		2	
Bangladesh	0	0	0		0	0		0	
Barbados	0	0	0		0	0		0	
Belarus	0	0	0		0	0		0	
Belgium	589	72	212		116	86		368	
Belize	0	0	0		0	0		0	
Benin	0	0	0		0	0		0	
Bolivia	0	0	0		0	0		0	
Bosnia and Herzegovina	0	0	0		0	0		0	
Botswana	0	0	0		0	0		0	
Brazil	0	0	0		0	69		30	
British Virgin Islands	0	0	0		0	0		0	
Brunei Darussalam	0	0	0		0	0		0	
Bulgaria	1	0	11		0	0		0	
Burkina Faso	0	0	0		0	0		0	
Cambodia	0	0	0		0	0		0	
Cameroon	2	0	1		0	0		0	
Canada	18	18	21		20	19		74	
Cayman Islands	0	0	0		0	0		0	
Central African Republic	0	0	0		0	0		0	
Chile	0	0	0		0	0		0	
China	30	208	14		8	2		15	
Christmas Islands	0	0	0		0	0		0	
Colombia	0	0	0		0	0		0	
Congo	0	0	0		0	0		0	
Côte d'Ivoire	0	0	0		0	0		6	
Cuba	14	20	1		0	2		62	
Cyprus	83	0	66		103	124		14	
Czech Republic	0	10	0		12	23		0	
Democratic Republic of the Congo	0	0	0		0	0		0	
Denmark	1,314	754	1,768		585	914		407	
Djibouti	0	0	0		0	0		0	
Dominican Republic	0	3	0		0	0		0	
