List of importing markets for a product exported by Albania Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	304,931	330,241	447,221	602,653	658,233	792,630	1,077,690	1,354,922	1,087,915	1,549,956	1,948,207	1,967,919	2,331,522	
Afghanistan	0	99	0	4	0	0	2,058	0	0	2	1	0	0	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	62	0	32	5	17	0	0	0	118	460	
Andorra	0	0	0	4	0	39	1	0	0	0	0	0	0	
Angola	0	0	18	0	3	1	0	0	0	0	0	0	0	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	5	0	0	0	1	0	0	0	0	0	0	
Area Nes	0	0	0	0	0	0	0	0	459	0	0	0	0	
Argentina	1	0	0	0	0	0	720	0	0	0	35	104	0	
Armenia	0	0	0	0	0	0	0	0	0	0	46	32	26	
Australia	0	0	0	32	0	2	48	7	35	0	61	106	0	
Austria	728	748	5,550	1,951	1,487	2,233	2,408	9,176	9,408	15,965	22,955	23,869	11,851	
Azerbaijan	0	0	0	39	0	0	0	0	0	0	3	0	5	
Bahamas	1	0	0	0	0	35	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	12	81	0	0	0	12	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	0	0	0	3	
Barbados	0	0	0	0	0	0	4	0	0	0	0	0	0	
Belarus	0	0	0	0	2	0	0	0	0	11	0	0	1,839	
Belgium	438	26	123	363	317	573	448	546	2,645	3,954	6,971	5,750	1,826	
Belize	0	0	0	0	0	0	0	0	0	9	10	0	16	
Benin	0	0	0	0	0	0	6	0	5	0	0	0	0	
Bermuda	0	0	0	0	0	0	0	0	0	0	10	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	28	133	298	0	0	0	
Bosnia and Herzegovina	8	74	42	382	1,094	4,320	4,339	2,262	1,107	3,097	2,349	2,348	2,873	
Botswana	0	0	3	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	43	80	900	488	57	268	1,129	2,677	1,976	1,702	1,721	
British Indian Ocean Territories	0	0	0	0	105	1	0	0	13	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	95	98	191	1,589	3,603	3,315	7,434	9,527	6,578	15,690	24,059	25,523	21,966	
Burkina Faso	0	0	0	0	0	0	0	0	0	0	79	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	20	20	0	0	0	7	0	0	0	
Cameroon	0	0	0	0	0	0	109	0	0	0	0	0	0	
Canada	0	16	59	0	45	0	9	54	321	932	981	107	592	
Cayman Islands	0	0	0	0	0	0	0	0	0	1,059	4,144	4,365	7,349	
Central African Republic	0	0	0	0	0	0	0	0	0	1	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	3	0	121	0	
China	0	7	1,590	610	3,235	9,026	27,659	37,577	51,901	85,172	48,581	53,059	108,392	
Christmas Islands	0	0	0	14	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	6	0	0	0	0	0	7	0	0	286	0	0	
Comoros	0	0	0	0	0	0	0	18	0	65	4	0	0	
Congo	0	0	0	0	8	0	0	0	10	70	274	75	12	
Cook Islands	48	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	14	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	89	
Croatia	50	119	317	403	182	2,236	988	2,262	1,240	2,421	3,060	3,768	3,597	
Cuba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	3	53	164	0	0	66	735	1,317	135	465	112	77	117	
Czech Republic	490	421	272	1,225	411	595	226	693	941	16,796	10,307	5,266	9,002	
Denmark	768	204	192	179	255	444	255	524	423	430	575	580	3,437	
Djibouti	0	0	0	0	0	0	0	0	0	0	0	0	366	
Dominica	0	37	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	20	
Egypt	0	0	2	0	28	25	94	650	852	5,325	1,448	228	2,205	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	0	0	379	
Eritrea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	163	71	85	47	0	21	
Ethiopia	0	0	0	39	0	0	0	0	0	0	0	0	64	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	21	0	9	185	5,059	208	164	110	99	25	
France	2,027	2,084	2,091	3,092	4,569	5,539	6,873	11,525	9,731	13,185	10,085	14,101	49,715	
Free Zones	0	0	0	0	0	0	0	0	0	0	0	0	0	
French South Antarctic Territories	0	0	0	0	0	15	0	0	0	0	0	0	0	
Gabon	0	0	0	0	520	0	0	0	102	0	0	0	28	
Gambia	0	0	1	0	0	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	44	3,725	0	24	7	0	5	0	32	
Germany	16,807	18,311	15,271	18,784	21,896	25,027	26,320	36,300	37,101	43,304	56,423	61,077	89,524	
Ghana	0	0	0	0	4	0	0	0	0	0	0	0	3	
Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	38,714	42,386	57,376	72,554	68,902	76,122	89,740	119,209	80,335	83,798	98,867	87,398	73,579	
Greenland	0	0	0	0	0	0	0	0	0	0	3	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	7	24	40	0	0	0	12	0	0	10	
Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	1	0	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	1	0	4	2	810	15	8	146	623	633	223	1,614	
Hungary	47	74	1,115	64	789	476	370	369	856	482	960	619	1,180	
Iceland	69	8	123	0	0	0	0	0	0	1,624	828	300	0	
India	0	0	0	0	12	15	8,449	80	6	152	1,166	11,120	1,204	
Indonesia	0	0	0	9	0	3	1	99	21	72	173	412	499	
Iran (Islamic Republic of)	2	20	31	170	757	340	99	276	26	133	0	41	3	
Iraq	0	0	0	0	243	0	67	131	205	26	184	81	315	
Ireland	0	0	0	16	0	130	3	10,083	21	17	0	5	48	
Israel	100	0	3	387	5	868	0	3	252	521	166	323	392	
Italy	216,503	236,833	334,917	440,415	476,802	575,564	733,610	837,809	683,272	787,543	1,039,857	1,005,634	1,080,198	
Jamaica	0	0	0	0	0	0	22	0	0	0	0	0	0	
Japan	81	42	80	23	32	51	42	34	54	529	639	306	463	
Jordan	87	0	1	0	35	18	0	18	766	461	299	320	341	
Kazakhstan	0	0	0	11	0	0	0	32	1,152	265	0	10	2,899	
Kenya	0	0	0	10	0	0	61	1	3	0	11	5	0	
Kiribati	0	0	0	18	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	2	0	0	0	0	0	0	0	0	
Korea, Republic of	0	0	0	0	0	1	115	0	0	5	0	30	333	
Kuwait	0	2	0	56	0	0	0	0	8	43	97	0	0	
Kyrgyzstan	0	0	0	0	0	11	0	0	0	0	0	8	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Latvia	0	0	0	0	0	0	72	39	30	144	200	505	508	
Lebanon	102	0	894	0	0	19	0	10	0	0	86	112	2,816	
Lesotho	0	0	0	0	0	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	1	0	15	12	10	32	0	
