List of importing markets for a product exported by Guinea Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	574,870	525,426		628,664	795,732	770,491	1,058,983	1,430,535		1,895,623	1,776,459	2,139,157	
Afghanistan	0	0		0	0	0	0	0		0	0	0	
Albania	36	0		0	0	0	222	762		0	20	175	
Algeria	187	0		0	32	97	42	143		508	266	108	
American Samoa	0	0		0	0	0	0	0		0	0	0	
Andorra	0	0		0	0	0	37	0		0	0	91	
Angola	137	75		0	0	29	1	4		101	258	250	
Anguilla	0	0		0	0	0	0	0		0	0	0	
Antigua and Barbuda	0	0		0	0	2,017	0	0		0	0	0	
Area Nes	17	426		0	1,063	191,765	0	0		0	0	0	
Argentina	0	0		0	0	0	0	0		0	0	4	
Armenia	0	0		0	0	0	1	0		0	0	59	
Australia	7	9,231		18	3	2	496	58		736	188	3,846	
Austria	0	0		0	0	0	0	0		0	0	0	
Azerbaijan	0	0		0	0	0	131	0		0	0	0	
Bahamas	0	0		0	0	0	3	0		0	0	0	
Bahrain	0	0		0	0	0	0	0		2	0	0	
Bangladesh	0	0		0	0	1	11	0		0	0	0	
Barbados	0	0		0	0	0	0	0		0	0	0	
Belarus	0	0		0	15	18	0	0		0	150	0	
Belgium	16,033	20,462		2,342	84,284	8,677	440	6,898		24,872	48,921	355,671	
Belize	0	0		0	0	0	0	0		0	0	0	
Benin	308	11		92	61	1	2	42		402	14	132	
Bermuda	0	0		0	0	0	0	0		0	0	0	
Bolivia	0	0		0	0	1	0	0		0	0	0	
Bosnia and Herzegovina	0	0		0	0	0	0	5		0	2,519	0	
Botswana	0	0		0	0	0	0	0		0	15	32	
Brazil	316	0		0	0	157	3	95		7	42	2,037	
British Indian Ocean Territories	0	0		0	0	0	0	0		0	0	0	
British Virgin Islands	0	0		0	0	0	0	0		0	0	0	
Brunei Darussalam	0	0		0	0	0	0	0		0	0	0	
Bulgaria	18	0		0	0	0	7	1		0	0	3	
Burkina Faso	119	0		55	39	34	37	4		910	1,046	3,668	
Burundi	0	0		3	0	48	0	0		291	10	0	
Cabo Verde	0	0		0	0	0	0	0		0	0	0	
Cambodia	0	0		0	0	0	0	0		0	0	0	
Cameroon	15,549	4,227		2,162	11	5	1	2,518		13,997	55	366	
Canada	15,750	21,642		21,207	24,759	24,263	50,880	57,705		56,622	55,067	932	
Cayman Islands	0	0		0	0	0	0	0		0	0	0	
Central African Republic	0	1		0	6	4	0	0		423	1	0	
Chad	22	0		77	80	0	0	0		90	0	0	
Chile	0	0		0	0	0	0	0		0	2	5	
China	12	9,828		191	1,592	13,613	1,316	19,920		43,042	6,059	5,302	
Christmas Islands	0	0		0	0	0	0	0		0	0	0	
Cocos (Keeling) Islands	0	0		0	0	0	0	0		0	0	0	
Colombia	71	0		0	956	0	0	0		0	0	1	
Comoros	0	0		0	0	0	0	0		0	0	0	
Congo	17	36		6	1	4	16	36		7,566	492	366	
Cook Islands	0	0		0	0	0	0	0		0	0	0	
Costa Rica	0	0		0	0	0	0	0		30	0	6	
Côte d'Ivoire	811	75		38	234	235	1,231	711		462	1,028	10,646	
Croatia	0	0		0	0	0	0	0		72	83	0	
Cuba	3	0		0	0	1,632	0	0		29	26	158	
Cyprus	1,419	0		0	0	0	0	0		0	0	353	
Czech Republic	7	0		0	4	0	0	0		0	24	170	
Democratic Republic of the Congo	0	3		15	0	0	5	26		0	0	0	
Denmark	258	4		0	164	300	1,158	5,486		156	5	2	
Djibouti	0	0		0	0	0	0	0		0	0	0	
Dominican Republic	0	0		0	0	0	0	0		0	0	0	
Ecuador	0	0		0	0	0	0	0		40	0	0	
Egypt	2	0		0	0	0	0	1,237		2,328	53	95	
El Salvador	0	0		0	0	0	0	0		0	0	0	
Equatorial Guinea	0	0		123	29	2	0	0		266	28	79	
Eritrea	0	0		0	0	0	0	0		70	0	0	
Estonia	0	0		0	0	0	0	0		0	0	0	
Ethiopia	342	0		9	58	2	0	0		0	3	1,370	
Europe Othr. Nes	0	0		90,757	91,582	101,837	0	0		0	0	0	
European Union Nes	0	0		0	0	0	0	0		0	0	0	
Falkland Islands (Malvinas)	0	0		0	0	0	0	0		0	0	0	
Faroe Islands	0	0		0	0	0	0	0		0	0	0	
Fiji	0	0		0	0	0	0	0		0	0	0	
Finland	0	0		0	0	0	0	0		0	7	21	
France	149,702	127,928		54,464	114,722	51,222	187,034	349,847		442,528	513,517	527,790	
Free Zones	0	3,000		0	0	0	0	0		0	0	0	
French Polynesia	0	0		0	0	0	0	0		0	0	0	
French South Antarctic Territories	0	0		0	0	0	0	0		0	0	0	
Gabon	154	3		1	0	11	11	1		1,362	17	17	
Gambia	346	33		38	123	203	128	97		103	98	102	
Georgia	0	0		0	0	0	1,227	9,679		0	7,718	0	
Germany	37,561	42,115		56,608	66,446	61,898	84,408	83,946		52,289	63,771	3,830	
Ghana	301	38		138	102	47	73	351		528	558	1,432	
Gibraltar	0	126		0	0	0	0	0		0	0	0	
Greece	1,409	14		31	404	570	12	26		0	0	20	
Greenland	0	0		0	0	0	0	0		0	0	0	
Grenada	0	0		0	0	0	0	0		0	0	0	
Guatemala	0	0		0	0	0	0	0		0	0	0	
Guinea-Bissau	0	707		278	574	472	255	874		1,388	409	883	
Guyana	0	0		0	0	0	0	0		0	0	0	
Haiti	1	0		0	0	0	0	0		0	0	0	
Honduras	0	0		0	0	0	0	0		0	0	3	
Hong Kong, China	12	0		884	655	116	653	460		223	1,554	158	
Hungary	9	3		18	0	7	0	232		0	0	2	
Iceland	0	0		50	285	0	0	4,040		1,802	0	4	
India	299	66		93	1,255	1,779	661	3,602		7,464	14,680	7,181	
