List of importing markets for a product exported by Comoros (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	40,629	31,766	37,073	38,185	30,222	50,398	43,634	37,006	30,854	34,878	59,340	114,021	51,644	
Albania	0	0	0	31	31	0	2	30	0	2	1	0	2	
Algeria	8	0	0	78	2,850	49	0	2,752	8	13	60	87	183	
Antigua and Barbuda					3		0		0	0	0	0	0	
Argentina	0	2	2	28	0	44	5	9	13	6	16	31	27	
Armenia	0	0	0	0	0	0	0	0	0	0	0	1	4	
Australia	5	9	0	0	0	2	0	1	3	19	9	0	209	
Austria	10	27	259	390	197	155	69	2	0	0	2	5	0	
Azerbaijan	0	0	0	0	0	0	0	0	5	0	1	0		
Bahrain	0	0	0	0	0	0	0	0	0	21	90			
Bangladesh	0	210	98	65	351	211	172							
Barbados	0	0	0	2	0	1	0	0	0	1	0	0	0	
Belarus	0	2	0	0	6	4	1	0	1	2	8	31	15	
Belgium	78	88	65	89	65	152	43	124	193	92	65	0	104	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bermuda												1	1	
Bosnia and Herzegovina			0	0	0	2	0	0	1	1	2	6	0	
Botswana	0	0	0	0	0	0	0	0	47	0	0	0	0	
Brazil	20	10	3	100	19	2	2	1	16	6	19	16	37	
Bulgaria	7	0	1	6	3	8	31	9	11	319	0	0	0	
Burkina Faso	0	3	0	0	2		0	0	0	0	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	70	0	0	0	0	161		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	4	2	4	0	0	0	0	7	0	0	0		
Canada	206	136	735	68	80	100	42	61	78	140	153	416	262	
Central African Republic	0	0	9			0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	1	5	0	0	1	
China	42	0	1	0	1	1	2	0	2	24	7	6	8	
Colombia	2	24	0	1	3	1	1	1	2	0	0	0	0	
Comoros	0	0	0	0	0	0	254	0	0					
Costa Rica	10	32	0	0	0	3	23	116	9	44	57	0	4	
Côte d'Ivoire	8	0	1	1	1	1	0	0	3	0	0	0		
Croatia	2	2	2	4	4	4	1	5	6	8	15	18	0	
Cyprus	3	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	40	23	9	4	34	18	7	22	32	26	34	39	64	
Denmark	0	87	1	26	1	5	4	1	0	4	7	0	0	
Dominican Republic	0	0	1	0	0	0	71	90	73	20	174	1	135	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	1	
Egypt	0	13	0	0	0	0	0	0	202	134	172	144	320	
Estonia	6	6	10	9	9	8	34	0	0	0	0	0	8	
Ethiopia	7	4	0	0	1	0	0	3	0	16	0	18		
Faroe Islands	0	0	0	0	0	1	0	0	0					
Fiji		0	0	2	2	0	1	0	0	0	1	8		
Finland	33	18	1	24	15	5	13	12	0	0	0	0	0	
France	7,375	9,888	16,841	7,074	7,141	6,484	9,175	10,618	6,600	6,419	6,126	6,538	7,612	
French Polynesia	0	2	2	3	2	2	0	0	4	0	1	0	0	
Gabon	0	0	1	0	0	0	0	0	5					
Germany	3,807	5,891	7,378	1,722	3,682	2,122	1,538	1,444	1,577	2,114	3,341	3,599	4,868	
Ghana	0		0		0	0	0	0	0	0	0	4		
Greece	112	1,007	645	531	102	121	532	3,559	1,382	329	323	450	710	
Greenland	0	0	0	0	0	1	0	12	0	0	0	0	0	
Grenada	0	0	0	0	1	0	6	0						
Guatemala	0	0	0	0	0	0	0	0	6	0	0	0	0	
Guinea	0	0		0	1	13	0	0		0	1	0		
Guyana	0	0	0	0	0	0	0	0	0	1	0	0	10	
Hong Kong, China	437	0	0	3	2	143	113	15	20	11	0	0		
Hungary	16	72	16	0	0	0	0	0	0	0	0	0	0	
India	589	380	597	258	1,003	5,850	3,477	617	450	8,154	2,616	5,692	7,458	
Indonesia	470	59	1	0	0	0	0	0	0	103	1,690	547	50	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	0	1	0	1	0	46	100	88	138	72	118	52	54	
Israel	0	0	0	0	0	28	0	0	41	0	0	0	0	
Italy	75	413	4	385	130	4,711	1,265	0	1,965	190	236	244	234	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0		
Japan	1,769	978	1,448	555	3,789	67	12	28	17	14	38	75	12	
Jordan	0	0	0	0		0	0	0	0	0	0	0	25	
Kazakhstan	0	0	0	0	0	0	2	0	0	0	0	0	4	
Kenya	8	0	2	0	0	0	105	0	0	1,434	1			
Korea, Republic of	0	0	1	0	0	4	0	0	0	23	0	15	40	
Kuwait	0	0	0	0		0	40	0						
Latvia	0	20	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	3	0	0	0	3	0	4	14	0	23	0	14	36	
Lithuania	8	8	2	0	0	318	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	0	2	0	0	
Macedonia, The Former Yugoslav Republic of	2	0	0	0	0	0	0		3	0	0	3	4	
Madagascar	110	28	60	81	113	26	145	23	534	951	113	198	1,007	
Malawi	0	0	3	0	0	0	3	0	0	0	0	0	0	
Malaysia	0	13	0	0	40	0	100	23	33	13	0	0	101	
Mali	0	0	12	0	0	0	0	0		0	0	0		
Mauritania	0	0	0	0	0		0	0	0	0	0	10		
Mauritius	2	72	733	74	10	15	24	24	7	27	21	1,106	1,993	
Mayotte	48	165	158	89	70	271	121	56	209					
Mexico	10	5	183	25	24	31	19	66	52	47	29	29	24	
Morocco	1	0	11	44	0	153	0	0	0	1	1	64	1	
