List of importing markets for a product exported by Solomon Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	87,598	95,294	130,140	194,778	214,435	244,868	331,726	386,635	286,196	413,199	614,710	687,306	658,813	
Albania	0	0	310	1,276	100	0	33	0	0	0	0	0	0	
Antigua and Barbuda					0		36		0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	1,342	774	3,200	3,778	2,764	2,900	5,371	5,214	3,912	4,888	72,985	118,792	90,004	
Austria	1,715	604	262	14	0	30	5	2	0	0	4	0	0	
Bahrain	0	26	0	0	0	0	0	0	9	32	0			
Bangladesh	1,960	142	2,002	1,196	2,322	1,478	771							
Barbados	0	2	4	0	0	0	0	0	0	0	0	0	0	
Belgium	32	26	1,193	2,365	4,143	1,600	835	1,518	11	8	4	11	72	
Belize	0	0	0	0	0	0	0	4	2	0	0	3	0	
Benin	0	0	0	0	0	0	0	0	0	1	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	3	0	0		
Bosnia and Herzegovina			0	0	0	0	0	0	0	0	0	1	0	
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0		0				101	0	0	0	
Bulgaria	4	0	0	0	0	0	128	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	0		
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	2	0	0	0	0		
Canada	87	39	24	43	105	104	141	109	90	161	187	381	380	
Chile	0	0	0	8	0	0	0	0	0	0	0	0	0	
China	5,940	18,217	32,638	57,952	96,603	124,862	182,338	214,986	178,105	287,054	348,807	377,698	404,513	
Colombia	0	0	0	0	0	1	0	0	0	0	0	0	0	
Congo							0	0	0	0	92	0	0	
Costa Rica	0	0	0	0	0	0	0	1	0	1	1	0	0	
Côte d'Ivoire	0	0	0	0	0	4	0	0	0	0	0	1		
Croatia	0	0	10	0	0	0	0	0	0	2	0	26	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	97	62	157	26	30	237	40	2,198	7	9	
Denmark	140	3	28	0	5	130	94	57	0	69	0	0	0	
Dominican Republic	3	0	0	0	0	0	0	0	0	0	0	35	0	
Ecuador	0	0	0	0	5	0	3,348	0	0	0	18	59	300	
Egypt	0	0	1	0	0	0	0	1	0	154	0	0	0	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	18	
Estonia	0	0	0	0	77	967	0	0	0	8	0	0	0	
Ethiopia	0	0	0	20	0	0	0	0	0	0	0	0		
Faroe Islands	0	0	0	0	0	0	0	0	3					
Fiji		273	167	44	584	672	1,313	2,115	2,138	1,159	1,424	3,275		
Finland	0	0	0	1	24	143	219	2	0	0	0	0	1	
France	30	253	67	122	1,720	488	225	1,497	314	1,288	864	589	729	
French Polynesia	180	144	140	52	24	11	18	0	0	10	20	1	1	
Gambia	0	0	0	0	0	0	0	0	0	0	0			
Germany	459	918	1,450	4,272	3,539	1,875	1,203	221	1,506	4,155	7,377	5,785	18,034	
Ghana	0		0		0	0	19	0	0	0	0	0		
Greece	0	0	0	0	1	0	0	0	0	0	0	0	0	
Grenada	2	0	0	0	0	0	0	0						
Guatemala	0	0	0	0	0	0	0	0	1	0	0	0	0	
Guinea	0	0		0	0	0	0	0		0	46	0		
Guyana	0	0	0	0	0	0	0	0	0	0	0	8	0	
Hong Kong, China	4,113	3,478	1,502	1,511	1,404	802	1,517	1,670	2,137	637	556	1,692		
Hungary	0	50	0	19	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	2	
India	5,156	1,267	2,046	406	558	4,176	6,240	618	1,226	6	15,116	20,119	3,944	
Indonesia	1	78	625	71	4	438	1,151	3,955	7,433	11,341	10,656	3,377	3,357	
Ireland	555	246	247	426	24	4	2	1	2	44	0	0	0	
Israel	0	0	0	0	0	0	0	5	0	0	0	0	0	
Italy	1	24	160	4,413	9,684	11,425	12,877	15,029	12,347	15,683	23,749	29,232	31,139	
Japan	18,552	20,597	17,926	18,280	15,981	23,024	20,544	12,023	6,727	9,410	6,238	7,440	5,242	
Jordan	0	0	0	1		0	0	0	0	0	0	0	0	
Kazakhstan	0	0	5	0	0	0	0	0	0	0	0	5	0	
Kenya	0	0	0	0	10	0	0	0	0	0	0			
Kiribati					45		3	25	26	402	751	569		
Korea, Republic of	16,946	15,887	23,573	32,062	31,121	28,025	25,219	23,198	12,696	15,769	12,511	11,024	13,253	
Kuwait	0	0	0	0		0	0	1						
Kyrgyzstan	0	0	0	0	8	0	0	0	0	0	0	0		
Lebanon	0	0	1	3	0	0	3	2	1	52	38	12	4	
Luxembourg	0	0	0	0	0	0	13	0	0	0	0	1	0	
Macao, China	0	0	0	0	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0		0	0	0	0	0	
Madagascar	0	0	1,935	1,579	96	3	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	46	5	0	1	0	0	0	
Malaysia	1,405	2,474	2,683	3,851	2,975	3,292	9,349	6,781	5,346	6,676	12,775	8,177	8,921	
Malta	0	0	0	0	0	0	0	145	0	0	0	0	0	
Mauritius	0	0	1,327	3,916	900	0	0	0	0	0	0	0	3,264	
Mayotte	0	0	238	0	0	0	0	2	5					
Mexico	5	0	163	1,723	5	2,223	858	122	591	448	19	28	36	
