List of importing markets for a product exported by Saint Kitts and Nevis Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	30,949	38,973	40,930	40,247	34,306	39,706	34,089	51,168	37,674	32,013	44,886	
Afghanistan	0	0	0	0	0	0	0	0	0	0	16	
Albania	0	5	0	0	0	194	10	0	1	12	1	
Algeria	0	0	0	0	0	0	0	6	23	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	127	134	81	66	64	156	167	188	407	324	328	
Antigua and Barbuda	109	32	134	27	96	326	605	771	1,506	944	1,370	
Area Nes	0	0	0	0	1	0	0	0	326	722	0	
Argentina	0	0	2	5	0	0	0	10	0	0	0	
Aruba	0	0	0	0	0	0	5	0	0	0	0	
Australia	0	0	0	3	3	0	0	0	0	0	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	17	0	0	0	0	0	0	0	0	1	2	
Bahrain	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	1	0	0	0	0	0	0	0	0	0	0	
Barbados	38	100	87	66	43	234	187	375	240	666	151	
Belarus	0	0	0	0	0	0	0	0	0	0	0	
Belgium	0	0	0	0	0	0	0	0	0	0	0	
Belize	0	0	0	0	0	0	28	0	0	0	29	
Benin	0	0	0	0	0	0	0	0	0	0	0	
Bermuda	0	0	0	0	0	2	14	0	0	0	0	
Brazil	0	0	0	0	1	0	15	0	0	0	0	
British Virgin Islands	99	81	119	77	39	74	98	236	110	211	180	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	
Canada	30	576	368	125	10	72	26	40	118	84	30	
Cayman Islands	0	0	0	0	0	0	0	3	0	6	5	
Chad	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	
China	0	1	1	0	0	1	1	2	0	0	0	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	1	3	80	3	26	0	0	
Cuba	0	0	2	0	0	0	1	4	6	2	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	
Denmark	11	17	11	6	0	0	19	11	12	0	0	
Djibouti	0	1	0	0	0	0	0	0	0	0	0	
Dominica	395	332	326	187	47	391	416	226	347	610	1,004	
Dominican Republic	0	0	1	4	0	4	2	1	13	8	22	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	1	0	0	0	0	0	0	0	0	0	
El Salvador	0	0	0	0	0	0	0	24	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	0	0	0	0	0	0	0	0	
France	16	58	64	30	73	257	354	285	185	231	585	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	0	5	
Germany	13	28	19	4	0	16	12	60	32	27	54	
Ghana	0	0	0	0	0	0	0	0	0	0	0	
Greece	0	0	0	0	0	0	0	0	0	0	0	
Greenland	0	0	0	0	0	0	0	0	0	0	0	
Grenada	27	26	0	0	86	88	132	600	232	507	537	
Guatemala	0	0	0	0	0	1	0	0	0	0	0	
Guinea	0	0	0	0	0	0	0	0	0	0	4	
Guyana	0	0	6	17	0	0	9	74	149	105	22	
Haiti	0	0	0	0	0	0	0	0	1	0	0	
Honduras	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	0	0	0	0	4	0	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	
India	1	1	0	0	0	0	0	0	0	0	1	
Indonesia	0	0	0	1	0	0	0	0	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	0	0	0	0	0	0	
Ireland	0	0	0	0	0	0	0	0	0	0	6	
Israel	0	0	0	0	0	0	0	0	0	0	0	
Italy	9	0	0	6	0	0	0	1	2	0	0	
Jamaica	4	3	15	0	2	10	4	16	263	14	2	
Japan	66	154	29	649	67	8	180	165	3	8	0	
Jordan	0	0	0	0	0	0	0	0	0	0	0	
Kenya	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	0	0	
Korea, Republic of	0	0	0	0	0	0	0	0	0	4	0	
Kuwait	0	0	0	0	0	0	0	0	0	0	0	
Latvia	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	0	0	0	0	0	0	0	0	
Lesotho	0	0	0	0	0	0	0	0	54	0	0	
Liberia	0	0	0	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	
Mali	0	0	0	1	0	9	0	0	0	0	0	
Mauritania	0	0	0	0	0	0	0	0	0	2	0	
Mauritius	0	0	0	0	0	0	0	0	0	0	0	
Mexico	5	7	2	0	0	0	0	1	0	0	0	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	0	0	
Montserrat	139	94	150	61	101	119	110	211	425	221	314	
Morocco	0	0	0	0	1	0	0	0	0	0	0	
Namibia	2	0	0	0	0	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	0	0	0	0	0	
Netherland Antilles	239	279	608	464	276	445	542	1,234	491	625	543	
Netherlands	13	14	0	3	1	6	4	4	5	40	47	
Neutral Zone	0	0	0	0	0	0	0	0	0	0	0	
New Zealand	0	0	0	0	0	0	0	0	0	0	0	
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	
Nigeria	0	0	0	0	0	0	0	0	0	0	0	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	0	2	
Norway	0	0	0	0	0	0	0	0	0	0	0	
Oman	0	0	0	0	0	0	0	0	0	0	0	
Pakistan	0	0	0	0	0	0	0	0	0	0	0	
Palau	0	0	0	0	0	0	0	0	0	0	0	
Panama	6	9	0	0	0	0	0	0	2	253	79	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	0	0	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	0	0	0	0	0	0	
Portugal	0	0	0	0	0	0	0	0	0	22	0	
Qatar	0	0	0	0	0	0	0	0	0	0	40	
Romania	0	0	0	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	0	0	0	0	0	0	0	0	
Saint Helena	0	0	0	0	0	3	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	0	
Saint Lucia	61	18	47	0	101	408	274	489	859	1,114	1,061	
Saint Vincent and the Grenadines	30	16	20	7	117	191	317	232	553	499	437	
Sao Tome and Principe	0	0	0	0	0	0	0	0	0	0	5	
Saudi Arabia	0	0	0	0	0	0	0	0	0	0	9	
Senegal	0	0	0	0	0	0	0	0	0	0	0	
Serbia	0	0	0	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	0	0	0	0	0	0	0	
Singapore	0	0	0	0	0	0	0	0	0	0	0	
Solomon Islands	0	2	0	0	0	0	0	0	0	0	0	
Somalia	0	0	0	0	0	0	0	0	0	0	0	
South Africa	0	0	0	0	0	0	0	0	0	0	0	
Spain	0	0	0	0	0	0	0	0	0	0	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	
Suriname	0	0	0	0	0	0	0	0	151	18	0	
Swaziland	0	0	0	0	0	0	0	0	0	0	0	
Sweden	0	0	0	0	292	0	1	0	0	0	0	
Switzerland	0	0	0	0	0	0	0	52	11	1	0	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	1	1	0	0	6	0	0	4	0	43	0	
Tanzania, United Republic of	0	0	0	0	0	0	0	0	0	0	0	
Thailand	0	0	6	0	2	5	4	17	0	0	0	
Tokelau	0	0	0	0	0	0	0	0	0	0	0	
Tonga	0	0	0	0	0	0	0	0	0	0	0	
Trinidad and Tobago	111	34	43	631	692	632	161	194	183	606	1,183	
Tunisia	0	0	0	0	0	0	0	0	0	0	0	
Turkey	0	0	0	0	0	0	0	0	0	0	0	
Turks and Caicos Islands	0	0	0	0	0	0	0	0	0	0	0	
Tuvalu	0	0	0	0	0	0	0	0	0	0	0	
Uganda	0	0	0	0	0	0	0	0	0	0	0	
Ukraine	0	0	0	0	0	0	0	0	0	0	0	
United Arab Emirates	0	0	0	0	0	0	0	0	0	0	0	
United Kingdom	7,307	9,892	8,235	7,972	660	891	779	2,285	372	237	105	
United States Minor Outlying Islands	0	0	0	0	0	1	0	0	0	149	7	
United States of America	22,073	27,054	30,552	29,834	31,524	35,157	29,530	43,343	30,527	23,695	36,700	
Uruguay	0	0	0	0	0	0	0	0	37	1	0	
Vanuatu	0	0	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	0	0	1	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	
Yemen	0	0	0	0	0	0	0	0	0	0	0	
Zimbabwe	0	0	0	0	0	0	3	0	0	0	0	
