List of importing markets for a product exported by Georgia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	317,636	345,933	461,406	646,903	865,454	935,139	1,232,361	1,497,485	1,133,622	1,583,337	2,189,122	2,377,454	2,909,255	
Afghanistan	15	127	27	0	886	753	1,082	948	251	228	2,127	13,403	8,253	
Albania	178	0	6	120	1	0	1	1,305	3,142	985	18	251	175	
Algeria	241	0	0	0	0	3,945	1,588	0	0	27	0	166	1,146	
Andorra	0	0	0	0	0	0	0	0	0	0	4	0	10	
Angola	0	0	0	2	0	1,261	0	0	3,139	0	0	0	0	
Anguilla	0	0	0	4	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	3	0	
Area Nes	198	473	509	437	1,155	584	4,191	2,617	4,729	3,433	0	0	0	
Argentina	0	0	0	0	2	5	0	0	2	0	159	141	6	
Armenia	12,469	20,072	30,685	54,328	39,625	73,521	110,780	124,781	88,878	160,231	223,037	260,982	315,697	
Australia	17	51	29	191	26	49	199	151	244	831	1,171	624	509	
Austria	441	471	271	311	1,046	765	4,919	3,002	1,095	781	1,433	734	579	
Azerbaijan	9,921	29,211	16,292	25,214	83,260	88,248	137,292	205,221	165,634	243,989	425,906	626,855	710,215	
Bahamas	534	0	199	0	162	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	2	0	0	0	0	0	0	0	0	
Bangladesh	0	1	0	0	0	0	0	1	0	1	22	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	1,499	2,442	1,989	2,723	2,455	3,258	4,739	11,159	14,101	22,493	28,344	33,459	40,492	
Belgium	6,752	1,308	3,113	5,068	5,075	11,007	17,738	7,191	13,520	25,845	33,648	60,446	61,482	
Belize	0	185	560	254	85	65	1,405	438	0	80	0	0	0	
Benin	0	0	0	0	0	0	0	0	25	14	14	29	0	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	11	93	0	0	0	0	0	0	0	0	11	0	
Bolivia	0	149	0	0	1	0	0	0	0	0	131	9,486	1,261	
Bosnia and Herzegovina	3	0	0	0	0	0	5	22	2	21	0	0	262	
Botswana	0	19	0	0	0	0	0	0	0	0	0	0	0	
Brazil	3	0	0	0	0	3,405	9,300	8,889	1	5,985	0	0	442	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	20	0	25	0	1,412	2,660	858	953	189	0	1,200	220	601	
Bulgaria	574	138	154	15,520	42,844	62,268	55,922	106,708	82,291	62,106	93,689	69,655	150,754	
Burkina Faso	0	0	0	0	0	0	0	0	1,864	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	3	1	0	41	3	46	0	0	0	
Cameroon	0	0	0	0	0	2	0	0	7	0	0	17	1,162	
Canada	35	73	202	3,690	35,640	48,872	70,604	131,801	117,224	86,655	114,794	104,580	81,361	
Cayman Islands	0	0	0	0	2	0	0	0	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	0	0	0	3	
Chile	0	0	0	0	0	51	194	0	0	0	0	930	3,566	
China	1,045	1,176	1,172	3,307	5,599	10,351	8,273	8,993	5,966	24,250	28,886	25,607	33,862	
Colombia	0	0	0	0	0	59	83	49	55	38	603	5,770	6,664	
Congo	0	0	0	0	0	0	0	0	0	36	0	0	0	
Costa Rica	0	0	0	0	0	0	0	1	0	0	23	30	120	
Côte d'Ivoire	0	0	0	0	0	0	0	37	0	0	0	10	0	
Croatia	0	0	0	0	2	4	3	11	169	37	5	7	398	
Cuba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	98	88	553	431	242	800	234	3,197	145	118	191	372	920	
Czech Republic	646	842	854	1,622	6,614	6,095	6,111	4,350	7,093	7,592	9,428	9,853	14,587	
Denmark	508	316	632	755	219	647	809	1,047	625	3,605	2,327	1,200	1,434	
Djibouti	0	68	0	0	0	0	0	0	0	0	0	0	0	
Dominica	0	0	0	0	2,656	4,237	563	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	172	94	0	0	0	0	868	1,189	
Ecuador	0	8	4	0	0	19	353	47	1	0	1,982	2,760	2,925	
Egypt	0	20	49	416	1,220	907	2,791	23	3,477	10,395	4,609	21,794	9,893	
El Salvador	0	0	0	0	0	0	0	30	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	13	0	0	0	
Estonia	0	55	8	873	2,782	1,884	1,443	970	1,234	863	2,775	3,686	1,939	
Ethiopia	10	0	0	0	0	0	0	0	0	0	0	0	2,267	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	60	0	2	0	0	184	6,892	1,061	588	875	1,592	3,626	1,882	
France	353	3,030	4,925	9,557	11,545	12,445	11,417	39,906	5,817	9,792	27,783	17,222	34,007	
French Polynesia	0	0	0	0	0	0	0	0	57	0	0	0	0	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	0	0	0	60	0	
Gambia	6	2,446	0	0	0	0	0	0	0	5	0	0	0	
Germany	7,688	5,399	9,788	15,851	28,361	39,463	56,133	33,100	19,863	29,290	49,057	38,572	73,037	
Ghana	100	0	64	0	0	0	0	0	0	5	0	1,765	511	
Gibraltar	464	4,783	1,802	194	367	7,568	8,816	240	256	0	0	140	0	
Greece	2,909	2,878	5,195	7,332	10,412	5,498	7,007	5,996	12,259	7,263	6,186	2,182	14,748	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	0	
