List of importing markets for a product exported by Northern Mariana Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	10,401	10,214	12,287	18,205	12,242	13,652	12,946	13,422	3,861	3,160	1,758	2,877	3,245	
Andorra	1	0	0	0										
Antigua and Barbuda					35		0		0	0	0	0	0	
Argentina	39	0	0	2	14	1	3	9	0	0	0	0	1	
Australia	93	90	210	259	58	2	51	69	12	6	1	0	2	
Austria	2	2	1	261	1	2	27	26	3	1	0	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	12	0			
Bangladesh	0	50	0	0	0	0	0							
Barbados	0	0	0	0	0	1	0	0	0	0	0	0	0	
Belarus	0	0	0	2	0	0	0	0	0	0	0	0	0	
Belgium	0	0	96	0	0	21	11	9	223	975	0	0	0	
Benin	24	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	52	33	55	1	7	0	3	2	1	0	
Bulgaria	0	0	0	2	32	0	0	10	0	0	0	0	0	
Cambodia	1	0	0	29	0	0	0	0	27	0	0	0		
Chile	0	0	0	0	18	1	5	9	0	0	0	0	0	
Colombia	0	2	0	4	18	62	43	12	4	1	0	0	0	
Comoros	0	0	0	0	37	0	0	0	0					
Costa Rica	0	0	11	0	1	4	25	7	20	0	3	1	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	22		
Croatia	2	0	0	67	0	0	1	1	73	5	45	1	0	
Cuba	0	0	0	0	0	85								
Cyprus	0	9	0	0	0	0	1	5	1	0	0	0	0	
Czech Republic	0	0	0	1	4	6	4	2,625	2	0	25	2	5	
Denmark	7	1	62	5	0	2	5	21	5	30	0	4	0	
Dominican Republic	0	0	0	0	0	0	0	11	48	41	0	0	0	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	1	0	0	0	0	0	0	0	0	
Ethiopia	0	0	5	1	0	189	0	0	0	0	0	0		
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	0	6	0	0	0	0	4	7	1	0	0	0	0	
France	11	4	5	1	182	36	93	140	28	19	81	11	77	
Gabon	1	0	0	0	23	0	0	0	0					
Germany	108	48	49	16	156	119	34	143	73	0	0	0	0	
Ghana	0		0		0	4	0	0	1	0	0	0		
Greece	35	0	0	0	0	18	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	34	0	1	0	1	0	0	0	0	
Honduras	6	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	1,898	2,820	2,639	2,413	2,091	3,904	1,143	688	131	226	398		
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	0	0	425	76	165	0	0	169	
Indonesia	3	1	3	0	0	24	27	25	0	0	63	0	0	
Ireland	2	0	0	64	17	0	17	90	21	1	2	0	0	
Italy	12	26	10	130	568	944	1,179	768	56	18	0	2	0	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0		
Japan	2,600	1,363	1,567	3,237	1,913	2,105	1,322	2,278	656	107	24	27	102	
Kazakhstan	5	0	0	115	0	0	1	0	0	0	0	0	0	
Kenya	0	0	7	9	5	0	0	0	0	0	0			
Korea, Republic of	448	701	516	694	538	645	138	461	158	313	124	88	208	
Kuwait	0	0	0	0		9	8	59						
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	15	7	0	1	2	2	10	6	0	1	0	73	84	
Lithuania	0	0	0	0	0	0	0	0	1	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	30	0	0	8	0	
Macao, China	0	0	0	4	0	0	0	0	0	0		0		
Madagascar	0	0	0	0	0	575	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	2	8	0	1	3	16	1	0	4	1	3	0	0	
Mauritius	0	0	0	0	0	0	0	0	0	0	0	15	151	
Mayotte	0	0	0	0	0	0	0	0	0					
Mexico	3,497	2,719	2,584	2,371	2,684	2,299	1,876	458	29	35	27	25	5	
Montserrat	0	0	0	5	0	0	0	0	0			0	0	
Mozambique	0	2	0	0	0	0	0	10	1	0	17	4	766	
Namibia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	74	20	31	25	37	133	86	208	71	1	0	2	8	
New Caledonia	0	72	0	0	0	3	0	0	0	11	0	0	0	
New Zealand	4	1	4	13	9	27	5	21	7	0	5	10	0	
Niger	0	0	0	0	0	0	5	0	0	0	0	9	0	
Nigeria	1,190	88	1,165			321	76	433	0	0	2	0		
Norway	0	0	0	0	12	1	2	0	0	0	0	0	0	
Pakistan			0	23	67	74	100	7	40	13	57	0	2	
Palau												533		
Papua New Guinea	0	0	0	0							0	1		
Paraguay	0	0	2	0	0	0	0	0	0	0	9	0	0	
Peru	1	0	2	0	3	11	13	10	5	0	0	17		
Philippines	0	0	0	0	0	0	0	0	0	14	0	0	0	
Poland	0	0	0	26	18	9	8	12	2	0	59	361	132	
Portugal	0	2	3	0	0	0	0	1	0	0	0	0	0	
Romania	0	0	2	6	3	2	0	0	0	0	0	0	0	
Russian Federation	0	4	0	8	4	1	0	0	5	1	0	0	0	
Rwanda	0	0	61	1	7	0	0	0	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	0			
Saint Lucia	0	0	0	0	0	1	0	0						
Saudi Arabia	0	0	0	0	0	1	6	0	0	0	0	0		
Serbia and Montenegro	0	0		0										
Singapore	7	24	120	63	105	167	96	1,108	587	318	286	129	95	
Slovakia	0	0	0	3	4	1	2	2	0	0	0	0	0	
Slovenia	0	2	1	14	190	243	7	9	1	0	0	0	0	
South Africa	1	0	0	3	0	0	2	42	166	96	414	562	869	
Spain	29	50	10	494	114	317	86	136	134	17	5	0	8	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0		
Sudan (North + South)	2	3	0	0	0	0		3	1	29	0			
Sweden	4	0	0	1	8	23	6	9	2	0	2	13	19	
Switzerland	17	14	0	5	0	29	3	47	0	29	26	9	0	
Taipei, Chinese	341	242	442	421	605	1,383	1,499	761	258	682	248	540	362	
Tanzania, United Republic of	6	0	0	0	0	0	0	0	0	0	0	0	0	
Thailand	21	108	24	47	0	2	298	4	8	19	0	4	1	
Tunisia	0	0	0	0	0	5	22	0	0	0	0	0	0	
Turkey	0	5	6	15	20	12	152	293	243	49	2	2	89	
Uganda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ukraine	4	0	0	0	0	0	0	0	2	0	0	0	0	
United Kingdom	1,786	2,642	2,265	7,062	2,245	1,565	1,676	1,481	86	13	0	3	23	
Uruguay	0	0	0	3	1	0	4	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0		0	0	0	0	0	66	
Viet Nam	0	0	203	0	0	0	0	0	0	0	0	0		
Yemen				0	0	3	0	0	0	0	0	0		
Zambia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zimbabwe	0	0		0	0	0	0	1	1	3	0	0	1	
