List of importing markets for a product exported by French Polynesia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	184,031	166,806	151,425	185,312	210,287	186,316	167,047	195,493	148,271	153,191	149,818	139,032	151,488	
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	92	73	0	0	0	0	0	20	0	0	
Anguilla	0	0	0	0	0	0	0	147	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	77	86	91	1,460	3	0	0	0	0	0	0	0	0	
Argentina	0	0	0	6	0	0	0	0	0	0	0	0	1	
Australia	1,449	2,768	1,486	965	803	1,940	2,962	1,214	1,236	2,504	566	1,108	346	
Austria	137	6	0	2	30	5	0	12	26	5	20	4	71	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	0	1	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	0	0	3	0	
Bangladesh	0	0	0	0	0	0	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	2,120	1,321	2,589	2,700	1,878	1,933	1,981	4,137	1,035	136	115	242	141	
Belize	1	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	1	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	1	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	6	31	29	49	20	4	7	19	25	61	168	76	26	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	4	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0	0	0	2	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	13	1	14	0	0	0	0	0	0	0	0	0	9	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	2,020	1,236	1,857	2,580	4,741	2,295	1,883	2,667	947	504	490	519	334	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	0	5	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	25	0	0	0	0	
Chile	58	74	115	58	60	46	287	64	127	103	202	464	418	
China	66	443	989	1,467	4,015	3,679	3,011	3,660	3,328	3,436	2,927	3,183	2,360	
Colombia	0	0	0	0	0	0	0	0	0	0	0	3	6,600	
Comoros	0	0	0	0	0	0	0	0	0	9	0	0	0	
Congo	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cook Islands	93	236	107	136	124	75	333	104	139	257	193	180	187	
Costa Rica	0	8	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	3	0	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	
