List of importing markets for a product exported by Europe Othr. Nes (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	14,381,385	4,165,410	4,119,232	6,575,619	11,446,183	13,139,427	16,227,393	21,118,019	18,591,374	17,229,128	17,998,182	22,451,787	20,140,266	
Algeria	16,216	0	209,396	381,558	516,267	64,898	81,629	112,691	166,559	279,725	0	0	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	4,012	12,003	6,646	8,440	8,064	9,614	40,040							
Belarus	0	0	0	0	0	0	0	195	0	0	0	26	0	
Belgium	0	0	0	0	0	0	0	0	0	0	0	0	34,849	
Belize	0	0	0	0	0	0	0	141	0	0	0	0	0	
Botswana	0	15	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	0	0	0	0	0	0	27	26	0	0	0	0	0	
Cameroon	28,353	52,554	230,370	26,832	14,087	1,356	0	0	0	0	0	0		
China	0	0	0	0	0	0	0	0	0	0	0	0	0	
Congo							0	253	32	31	999	1,593	2,109	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	113,319	
Cyprus	0	0	0	47,539	86,349	80,126	3,869	26,798	9,647	27,497	48,914	20,399	4,646	
Czech Republic	0	0	0	97,630	55,383	54,985	92,560	151,545	262,107	343,357	296,027	418,679	380,246	
Denmark	5,621	1,436	1,021	3,558	1,256	0	0	0	0	0	0	0	0	
Egypt	201,870	157,753	128,373	250,761	289,974	327,134	458,182	1,556,097	641,616	192,440	0	72	0	
Estonia	1,194,523	1,496,935	2,023,729	935,698	391,498	502,240	672,202	773,346	0	0	752,617	891,897	842,804	
Ethiopia	0	0	0	62	0	0	0	0	0	0	0	0		
Finland	729,609	655,955	0	0	0	0	0	0	0	0	0	0	0	
France	144,163	102,517	117,977	152,555	180,535	196,095	312,995	462,109	318,961	359,102	420,448	0	172	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	4	
Gabon	0	0	0	0	2	1	1	714	0					
Greece	79	0	0	1	18	112	5,982	2,829	826	1,209	3,131	1,464	3,905	
Greenland	0	0	0	0	0	502	269	488	0	5	0	0	10	
Guinea	0	5		4,829	6,467	3,666	0	0		0	0	0		
Hong Kong, China	0	0	0	31	0	30	0	0	556	237	162	40		
Indonesia	0	0	4	0	0	0	0	0	0	2	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	1,213,209	1,101,854	979,830	1,194,014	1,524,515	1,374,500	1,561,901	1,560,885	1,123,292	1,090,102	1,177,908	1,298,908	1,341,733	
Israel	9,253	6,426	2,853	1,217	0	0	0	0	0	0	0	0	0	
Jamaica	0	0	0	0	3	0	0	0	0	0	0	0		
Kuwait	0	0	0	0		7,491	0	0						
Kyrgyzstan	0	0	0	0	0	0	1,780	0	58	18	150	306		
Latvia	0	0	0	0	0	0	0	0	0	145,369	0	0	0	
Lebanon	0	0	0	0	0	985	551	363	0	0	0	0	0	
Lesotho	0	0	0					0	0	0				
Libya							872,641	1,948,277	2,129,237	1,768,796				
Luxembourg	302,984	310,734	12	0	0	0	0	2,144,518	1,757,830	1,504,240	1,828,875	1,710,558	1,715,330	
Madagascar	1,060	2,085	1,793	348	0	0	104,789	211,187	832	1,534	183,814	199,887	0	
Malawi	0	0	0	81	0	9	0	0	0	1,183	4,068	0	0	
Malta	0	0	0	879	1,746	1,606	1,033	22,083	0	0	0	0	0	
Mayotte	0	0	0	0	0	0	0	129	156					
Mexico	148,213	185,899	201,295	136,172	205,941	74,021	40,353	55,779	21,491	74,907	48,262	26,912	0	
Morocco	0	0	0	0	0	0	0	0	1	0	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	0	0	0	1,313	2,322	
Netherlands	30,896	77,105	109,565	367,595	142,585	195,106	328,957	617,011	0	0	0	0	0	
New Caledonia	0	0	0	0	38	0	0	0	32	1,469	1,067	530	0	
New Zealand	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nigeria	0	0	0			0	0	0	0	0	0	0		
Pakistan			0	0	209,175	106,865	347,690	203,522	239	113	36,984	153,209	308,189	
Panama	0	0	0		0	0	113	0	0	0	0			
Peru	0	0	0	0	0	0	0	0	0	0	0	37		
Philippines	0	36	13	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	4,347	44,061	35,676	13,827	24,989	13,410	22,985	19,061	14,876	10,525	
Portugal	470	2,012	610	8	2,009,142	2,346,757	2,429,232	3,930,452	1,456,305	179,849	116,302	3	0	
Qatar	0	0	0	0	0	0	5,377	0	0	0	0	0	0	
Romania	0	0	0	0	0	0	15,045	4,551	7,897	15,060	5,600	1,901	4,701	
Russian Federation	0	0	0	0	0	0	199,760	310,771	331,293	0	0	138,902	0	
Saint Vincent and the Grenadines	0	0	0	0	0	265	879	0	0	0	0	0		
Saudi Arabia	0	0	0	0	397,290	469,940	487,386	0	0	0	0	0		
Serbia					654,940	1,213,666	5,254	0	0	0	0	0	0	
Singapore	0	0	105,745	46,214	230,549	217,297	171,607	164,091	348,471	91,952	11,873	264	35	
Slovakia	0	0	0	1,474,142	2,882,727	4,302,764	6,636,063	5,259,203	7,306,215	7,761,506	9,229,105	9,829,357	8,408,076	
Slovenia	7	2	0	486,382	725,166	621,804	534,930	617,660	583,466	593,035	681,482	611,200	705,142	
Spain	0	0	0	0	0	0	16	0	1,096,087	2,511,890	3,130,168	3,557,006	3,411,655	
Sudan (North + South)	0	84	0	0	0	0		0	0	0	0			
Sweden	0	0	0	9	42	0	0	0	0	0	0	0	12,200	
Syrian Arab Republic	0	0	0	954,717	851,323	869,158	800,453	771,041	901,694	138,860				
Tunisia	0	0	0	0	1	0	0	0	0	0	0	0	0	
United Arab Emirates					0		0	0						
United Kingdom	10,350,847	0	0	0	0	0	0	0	0	0	0	3,572,446	2,838,281	
Venezuela	0	0	0	0	0	0		0	0	0	0	0	0	
Yemen				0	17,039	60,709	0	184,231	113,053	122,323	0	0		
Zimbabwe	0	0		0	0	49	0	44	11	332	1,165	2	13	
