List of importing markets for a product exported by Malawi Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	449,410	377,517	502,430	458,703	495,490	666,217	868,559	878,999	1,187,917	1,066,204	1,425,289	1,218,033	1,194,448	
Afghanistan	0	0	0	0	0	0	8	0	0	1	0	0	0	
Albania	0	0	0	0	0	0	0	16	29	0	2	0	0	
Algeria	2,028	3,419	0	1,403	1,196	0	676	0	1,460	2,974	1,297	2,173	417	
Andorra	0	0	0	0	0	0	69	34	27	0	0	4	25	
Angola	6	22	1	178	33	0	389	1	106	0	21	61	63	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	0	0	0	6	0	699	0	0	0	0	0	0	0	
Argentina	718	87	1,780	1,328	1,256	241	1,239	3,050	1,447	372	1,509	4,775	4,658	
Armenia	0	0	1	0	95	76	0	715	309	1,030	1,209	2,229	2,637	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	2,844	3,793	3,169	4,796	4,114	7,615	4,012	2,613	2,970	2,314	244	1,453	172	
Austria	1,811	3,078	7,062	1,455	1,570	1,912	2,026	262	333	159	0	0	0	
Azerbaijan	1	48	0	0	1	70	203	24	929	335	334	290	113	
Bahamas	0	0	0	0	0	0	0	0	0	1	0	0	0	
Bahrain	29	0	0	0	0	2	19	0	1	0	0	0	0	
Bangladesh	15	38	7	1,717	10	5	6	0	0	1,026	6,097	7,329	924	
Barbados	0	0	0	0	3	0	0	0	0	0	0	0	0	
Belarus	145	0	0	0	0	0	0	0	664	967	1,061	1,002	63	
Belgium	4,969	6,852	13,689	13,608	7,115	31,916	69,927	114,684	208,332	132,497	93,268	91,747	93,634	
Belize	0	0	0	0	1	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bermuda	0	0	1,153	815	22	0	0	17	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	160	10	
Bolivia	0	0	0	0	0	0	4	24	1	2	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	908	0	1,336	2,165	51	0	
